ax,ay,az
0.262,0.207,-0.42
0.197,0.684,-0.646
-0.145,0.259,-0.407
-0.036,-0.629,-0.285
-0.395,-0.209,0.657
-0.132,0.138,0.42
-0.141,-0.129,0.132
0.475,0.045,1.062
0.634,0.278,-0.713
1.117,-0.39,0.591
0.566,-0.493,-0.166
0.392,-0.799,0.765
-0.085,0.073,0.371
-0.356,0.676,0.648
-0.1,0.477,-0.093
-0.118,0.511,-0.841
0.134,0.005,0.019
0.476,-0.153,0.101
0.231,-0.175,-0.264
-0.358,0.186,0.215
-1.21,0.878,-2.141
0.282,-0.278,2.653
0.505,0.235,0.9
-0.255,-0.875,0.135
0.113,-0.188,-0.144
-0.025,0.404,-0.302
-0.148,0.132,-0.358
0.021,-0.234,-0.274
0.257,0.523,0.115
-0.049,0.407,-0.233
-0.06,0.577,-0.342
-0.343,-0.043,0.805
0.049,-0.464,0.754
-0.187,0.331,-0.024
-0.046,0.533,0.225
0.338,-1.28,2.18
0.39,-0.276,-1.659
0.154,0.315,-0.63
0.476,0.489,-0.593
0.209,0.162,-0.098
0.366,-0.287,-0.402
0.099,-0.256,-0.682
-0.151,-0.257,-0.343
-0.299,0.354,0.201
0.355,0.431,1.151
0.151,0.245,0.667
1.232,0.328,0.386
-0.369,0.761,-0.454
-0.801,-0.209,0.417
-0.678,-0.464,1.796
-0.252,-0.093,-0.27
-0.272,0.33,-0.033
0.717,0.136,-0.133
0.296,-0.138,0.092
0.208,-0.143,0.074
-0.11,-0.27,-0.347
-0.084,0.026,-0.49
0.025,0.269,-0.217
0.15,0.435,-0.081
-0.081,0.58,-0.178
0.015,0.321,0.084
-0.044,0.243,-0.54
0.347,0.096,-0.157
0.031,-0.18,0.631
0.215,0.127,-0.047
-0.004,-0.087,0.594
0.1,-0.074,-0.142
0.021,0.349,-0.01
0.162,0.459,-1.066
-0.026,0.194,-0.194
-0.151,0.154,1.062
-0.359,-0.146,0.542
-0.149,-0.483,1.159
-0.087,-0.253,0.845
-0.105,0.057,-0.04
-0.315,-0.042,0.215
-0.258,0.292,0.385
0.14,0.19,1.693
0.138,0.256,-1.07
0.173,0.242,-0.236
-0.144,0.13,-0.342
-0.169,-0.014,-0.506
-0.178,0.121,0.574
0.136,0.302,0.289
0.15,-0.191,0.264
0.097,-0.253,-0.289
0.181,-0.274,0.938
-0.509,-0.013,0.739
-0.252,0.046,0.5
0.069,0.17,0.285
-0.081,0.348,0.032
0.099,0.108,0.131
-0.097,0.261,-0.279
-0.177,-0.134,-0.46
0.048,-0.113,-0.288
-0.363,-0.076,1.239
-0.495,-0.023,0.717
0.818,-0.181,0.818
