front,left,direction
0.946,0.683,Move-Forward
0.93,0.691,Move-Forward
0.914,0.706,Move-Forward
0.899,0.717,Sharp-Right-Turn
0.883,0.725,Sharp-Right-Turn
0.867,0.739,Sharp-Right-Turn
0.851,0.75,Sharp-Right-Turn
0.835,0.762,Sharp-Right-Turn
0.819,0.772,Sharp-Right-Turn
0.806,0.781,Sharp-Right-Turn
0.8,0.78,Sharp-Right-Turn
0.801,0.779,Sharp-Right-Turn
0.802,0.777,Sharp-Right-Turn
0.802,0.777,Sharp-Right-Turn
0.801,0.778,Sharp-Right-Turn
0.8,0.778,Sharp-Right-Turn
0.8,0.777,Sharp-Right-Turn
0.799,0.778,Sharp-Right-Turn
0.799,0.78,Sharp-Right-Turn
0.799,0.778,Sharp-Right-Turn
0.798,0.781,Sharp-Right-Turn
0.797,0.781,Sharp-Right-Turn
0.796,0.781,Sharp-Right-Turn
0.795,0.782,Sharp-Right-Turn
0.795,0.786,Sharp-Right-Turn
0.794,0.789,Sharp-Right-Turn
0.793,0.796,Sharp-Right-Turn
0.796,0.793,Sharp-Right-Turn
0.796,0.827,Sharp-Right-Turn
0.796,0.826,Sharp-Right-Turn
0.799,0.824,Sharp-Right-Turn
0.803,0.793,Sharp-Right-Turn
0.81,0.819,Sharp-Right-Turn
0.798,0.816,Sharp-Right-Turn
0.795,0.813,Sharp-Right-Turn
0.794,0.808,Sharp-Right-Turn
0.794,0.808,Sharp-Right-Turn
0.797,0.806,Sharp-Right-Turn
0.8,0.809,Sharp-Right-Turn
0.801,0.792,Sharp-Right-Turn
0.821,0.789,Sharp-Right-Turn
1.463,0.783,Move-Forward
1.461,0.78,Move-Forward
1.466,0.777,Move-Forward
1.467,0.775,Move-Forward
1.466,0.774,Move-Forward
1.462,0.772,Move-Forward
1.456,0.771,Move-Forward
1.448,0.768,Move-Forward
1.437,0.763,Move-Forward
1.425,0.757,Move-Forward
1.411,0.751,Move-Forward
1.395,0.745,Move-Forward
1.379,0.738,Move-Forward
1.362,0.732,Move-Forward
1.345,0.725,Move-Forward
1.328,0.717,Move-Forward
1.309,0.71,Move-Forward
1.291,0.703,Move-Forward
1.273,0.696,Move-Forward
1.257,0.689,Move-Forward
1.235,0.682,Move-Forward
1.216,0.675,Move-Forward
1.196,0.668,Move-Forward
1.177,0.661,Move-Forward
1.159,0.654,Move-Forward
1.14,0.647,Move-Forward
1.122,0.64,Move-Forward
1.103,0.633,Move-Forward
1.085,0.626,Move-Forward
1.066,0.619,Move-Forward
1.046,0.612,Move-Forward
1.027,0.604,Move-Forward
1.009,0.597,Move-Forward
0.99,0.59,Move-Forward
0.971,0.583,Move-Forward
0.775,0.576,Sharp-Right-Turn
0.759,0.569,Sharp-Right-Turn
0.712,0.562,Sharp-Right-Turn
0.689,0.554,Sharp-Right-Turn
0.674,0.547,Sharp-Right-Turn
0.656,0.54,Sharp-Right-Turn
0.655,0.534,Sharp-Right-Turn
0.847,0.533,Sharp-Right-Turn
0.85,0.535,Sharp-Right-Turn
0.852,0.531,Sharp-Right-Turn
0.853,0.531,Sharp-Right-Turn
0.853,0.527,Sharp-Right-Turn
0.852,0.526,Sharp-Right-Turn
0.852,0.525,Sharp-Right-Turn
0.584,0.524,Sharp-Right-Turn
0.582,0.523,Sharp-Right-Turn
0.582,0.522,Sharp-Right-Turn
0.852,0.521,Sharp-Right-Turn
0.582,0.52,Sharp-Right-Turn
0.583,0.52,Sharp-Right-Turn
0.85,0.519,Sharp-Right-Turn
0.849,0.518,Sharp-Right-Turn
0.849,0.517,Sharp-Right-Turn
0.85,0.517,Sharp-Right-Turn
0.85,0.516,Sharp-Right-Turn
0.851,0.515,Sharp-Right-Turn
0.851,0.513,Sharp-Right-Turn
0.852,0.512,Sharp-Right-Turn
0.855,0.51,Sharp-Right-Turn
0.857,0.509,Sharp-Right-Turn
0.858,0.508,Sharp-Right-Turn
0.858,0.507,Sharp-Right-Turn
0.602,0.504,Sharp-Right-Turn
0.854,0.501,Sharp-Right-Turn
0.854,0.498,Sharp-Right-Turn
0.854,0.496,Sharp-Right-Turn
0.854,0.494,Sharp-Right-Turn
0.857,0.492,Sharp-Right-Turn
0.858,0.49,Sharp-Right-Turn
0.857,0.488,Sharp-Right-Turn
0.856,0.486,Sharp-Right-Turn
0.855,0.483,Sharp-Right-Turn
0.851,0.48,Sharp-Right-Turn
0.85,0.477,Sharp-Right-Turn
0.852,0.475,Sharp-Right-Turn
0.851,0.473,Sharp-Right-Turn
0.851,0.471,Sharp-Right-Turn
0.851,0.47,Sharp-Right-Turn
0.854,0.468,Sharp-Right-Turn
0.852,0.467,Sharp-Right-Turn
0.847,0.469,Sharp-Right-Turn
0.845,0.47,Sharp-Right-Turn
0.841,0.466,Sharp-Right-Turn
0.839,0.465,Sharp-Right-Turn
0.841,0.464,Sharp-Right-Turn
0.84,0.463,Sharp-Right-Turn
0.839,0.467,Sharp-Right-Turn
0.838,0.48,Sharp-Right-Turn
5,0.506,Move-Forward
5,0.575,Move-Forward
5,0.475,Slight-Right-Turn
5,0.476,Slight-Right-Turn
0.939,0.565,Move-Forward
5,0.569,Move-Forward
5,0.569,Move-Forward
5,0.569,Move-Forward
5,0.566,Move-Forward
5,0.483,Slight-Right-Turn
5,0.573,Move-Forward
5,0.573,Move-Forward
0.816,0.506,Sharp-Right-Turn
0.806,0.516,Sharp-Right-Turn
0.794,0.528,Sharp-Right-Turn
0.784,0.54,Sharp-Right-Turn
0.772,0.552,Sharp-Right-Turn
0.764,0.565,Sharp-Right-Turn
0.756,0.606,Sharp-Right-Turn
0.752,0.772,Sharp-Right-Turn
0.753,0.993,Sharp-Right-Turn
0.758,0.992,Sharp-Right-Turn
0.758,0.595,Sharp-Right-Turn
0.758,0.991,Sharp-Right-Turn
0.758,0.597,Sharp-Right-Turn
0.758,0.594,Sharp-Right-Turn
0.761,0.986,Sharp-Right-Turn
0.774,0.988,Sharp-Right-Turn
0.777,0.762,Sharp-Right-Turn
3.163,0.589,Move-Forward
3.163,0.587,Move-Forward
3.164,0.589,Move-Forward
3.163,0.597,Move-Forward
3.162,0.598,Move-Forward
3.158,0.598,Move-Forward
3.151,0.604,Move-Forward
3.142,0.613,Move-Forward
3.131,0.627,Move-Forward
3.118,0.722,Move-Forward
3.104,0.715,Move-Forward
3.088,0.708,Move-Forward
3.072,0.7,Move-Forward
3.055,0.692,Move-Forward
3.037,0.684,Move-Forward
3.019,0.675,Move-Forward
3,0.667,Move-Forward
2.982,0.658,Move-Forward
2.964,0.649,Move-Forward
2.945,0.641,Move-Forward
2.928,0.632,Move-Forward
2.91,0.624,Move-Forward
0.808,0.616,Sharp-Right-Turn
0.789,0.609,Sharp-Right-Turn
0.758,0.601,Sharp-Right-Turn
0.759,0.593,Sharp-Right-Turn
0.747,0.586,Sharp-Right-Turn
2.801,0.621,Move-Forward
2.786,0.611,Move-Forward
2.776,0.605,Move-Forward
