Year,Temp
1880,-0.19
1881,-0.1
1882,-0.08
1883,-0.19
1884,-0.26
1885,-0.3
1886,-0.29
1887,-0.32
1888,-0.19
1889,-0.1
1890,-0.35
1891,-0.23
1892,-0.25
1893,-0.28
1894,-0.29
1895,-0.2
1896,-0.14
1897,-0.1
1898,-0.27
1899,-0.15
1900,-0.08
1901,-0.14
1902,-0.27
1903,-0.35
1904,-0.43
1905,-0.27
1906,-0.21
1907,-0.39
1908,-0.42
1909,-0.46
1910,-0.42
1911,-0.44
1912,-0.34
1913,-0.33
1914,-0.15
1915,-0.1
1916,-0.33
1917,-0.39
1918,-0.25
1919,-0.22
1920,-0.25
1921,-0.2
1922,-0.26
1923,-0.23
1924,-0.27
1925,-0.19
1926,-0.09
1927,-0.2
1928,-0.21
1929,-0.35
1930,-0.13
1931,-0.08
1932,-0.15
1933,-0.27
1934,-0.12
1935,-0.18
1936,-0.14
1937,-0.01
1938,-0.01
1939,-0.02
1940,0.09
1941,0.13
1942,0.1
1943,0.14
1944,0.26
1945,0.13
1946,-0.03
1947,-0.04
1948,-0.09
1949,-0.09
1950,-0.18
1951,-0.07
1952,0.01
1953,0.08
1954,-0.12
1955,-0.14
1956,-0.19
1957,0.04
1958,0.06
1959,0.03
1960,-0.03
1961,0.05
1962,0.02
1963,0.06
1964,-0.21
1965,-0.1
1966,-0.05
1967,-0.03
1968,-0.07
1969,0.06
1970,0.03
1971,-0.09
1972,0.01
1973,0.15
1974,-0.08
1975,-0.01
1976,-0.11
1977,0.18
1978,0.07
1979,0.17
1980,0.28
1981,0.33
1982,0.13
1983,0.31
1984,0.16
1985,0.12
1986,0.19
1987,0.34
1988,0.4
1989,0.29
1990,0.44
1991,0.42
1992,0.23
1993,0.24
1994,0.32
1995,0.46
1996,0.34
1997,0.47
1998,0.63
1999,0.42
2000,0.42
2001,0.54
2002,0.63
2003,0.62
2004,0.54
2005,0.69
2006,0.63
2007,0.66
2008,0.53
2009,0.64
2010,0.72
2011,0.6
2012,0.63
2013,0.65
2014,0.74
2015,0.87
