Team,homeWins,homeLosses,homeDraws,awayWins,awayLosses,awayDraws
Leicester City,12,1,6,11,2,6
Arsenal,12,3,4,8,4,7
Tottenham Hotspur,10,3,6,9,3,7
Manchester City,12,5,2,7,5,7
Manchester United,12,2,5,7,8,4
Southampton,11,5,3,7,6,6
West Ham United,9,3,7,7,5,7
Liverpool,8,3,8,8,7,4
Stoke City,8,7,4,6,8,5
Chelsea,5,5,9,7,7,5
Everton,6,8,5,5,5,9
Swansea City,8,5,6,4,10,5
Watford,6,7,6,6,10,3
West Bromwich Albion,6,8,5,4,7,8
Bournemouth,5,9,5,6,9,4
Crystal Palace,6,10,3,5,8,6
Sunderland,6,7,6,3,10,6
Newcastle United,7,5,7,2,14,3
Norwich City,6,8,5,3,14,2
Aston Villa,2,12,5,1,15,3
