Team,homeWins,homeLosses,homeDraws,homeGA,homeGF,awayWins,awayLosses,awayDraws,awayGA,awayGF
Leicester City,12,1,6,18,35,11,2,6,18,33
Arsenal,12,3,4,11,31,8,4,7,25,34
Tottenham Hotspur,10,3,6,15,35,9,3,7,20,34
Manchester City,12,5,2,21,47,7,5,7,20,24
Manchester United,12,2,5,9,27,7,8,4,26,22
Southampton,11,5,3,22,39,7,6,6,19,20
West Ham United,9,3,7,26,34,7,5,7,25,31
Liverpool,8,3,8,22,33,8,7,4,28,30
Stoke City,8,7,4,24,22,6,8,5,31,19
Chelsea,5,5,9,30,32,7,7,5,23,27
Everton,6,8,5,30,35,5,5,9,25,24
Swansea City,8,5,6,20,20,4,10,5,32,22
Watford,6,7,6,19,20,6,10,3,31,20
West Bromwich Albion,6,8,5,26,20,4,7,8,22,14
Bournemouth,5,9,5,34,23,6,9,4,33,22
Crystal Palace,6,10,3,23,19,5,8,6,28,20
Sunderland,6,7,6,20,23,3,10,6,42,25
Newcastle United,7,5,7,24,32,2,14,3,41,12
Norwich City,6,8,5,30,26,3,14,2,37,13
Aston Villa,2,12,5,35,14,1,15,3,41,13
