Team,Payroll_M__,Manager,ManagerHireDate,ManagerNationality
Leicester City,48.2,Claudio Ranieri,07/13/2015,Italy
Arsenal,192,Arsène Wenger,10/01/1996,France
Tottenham Hotspur,110.5,Mauricio Pochettino,05/27/2014,Argentina
Manchester City,193.8,Manuel Pellegrini,06/14/2013,Chile
Manchester United,203,Louis van Gaal,07/14/2014,Netherlands
Southampton,59.5,Ronald Koeman,06/16/2014,Netherlands
West Ham United,69.5,Slaven Bili?,06/09/2015,Croatia
Liverpool,152,Jürgen Klopp,10/08/2015,Germany
Stoke City,72.3,Mark Hughes,05/30/2013,Wales
Chelsea,215.6,Guus Hiddink,12/19/2015,Netherlands
Everton,74.7,David Unsworth,05/12/2016,England
Swansea City,51,Francesco Guidolin,01/18/2016,Italy
Watford,29,Quique Sánchez Flores,06/05/2015,Spain
West Bromwich Albion,68.5,Tony Pulis,01/01/2015,Wales
Crystal Palace,54.3,Alan Pardew,01/02/2015,England
Bournemouth,25,Eddie Howe,10/12/2012,England
Sunderland,71,Sam Allardyce,10/09/2015,England
Newcastle United,75.8,Rafael Benítez,03/11/2016,Spain
Norwich City,37,Alex Neil,01/09/2015,Scotland
Aston Villa,65.1,Eric Black,03/29/2016,Scotland
