yr,mth,dy,x,y,z
1997,10,16,0.6001,-0.7935,0.1011
1997,10,17,0.6126,-0.7841,0.0993
1997,10,18,0.6235,-0.7755,0.0993
1997,10,19,0.6357,-0.7657,0.0976
1997,10,20,0.6477,-0.7556,0.0976
1997,10,21,0.6596,-0.7455,0.0958
1997,10,22,0.6712,-0.7351,0.0958
1997,10,23,0.6896,-0.7318,0.095
1997,10,24,0.6998,-0.7221,0.095
1997,10,25,0.7111,-0.7111,0.0933
1997,10,26,0.7222,-0.6999,0.0933
1997,10,27,0.7332,-0.6885,0.0915
1997,10,28,0.7429,-0.6783,0.0898
1997,10,29,0.7535,-0.6666,0.0898
1997,10,30,0.7639,-0.6548,0.088
1997,10,31,0.7731,-0.6441,0.0863
1997,11,1,0.7832,-0.6319,0.0863
1997,11,2,0.7931,-0.6196,0.0845
1997,11,3,0.8018,-0.6086,0.0828
1997,11,4,0.8113,-0.5959,0.0828
1997,11,5,0.8206,-0.5832,0.081
1997,11,6,0.8288,-0.5718,0.0792
1997,11,7,0.8377,-0.5587,0.0792
1997,11,8,0.8465,-0.5455,0.0775
1997,11,9,0.8541,-0.5337,0.0757
1997,11,10,0.8625,-0.5203,0.074
1997,11,11,0.8706,-0.5067,0.074
1997,11,12,0.8777,-0.4945,0.0722
1997,11,13,0.8854,-0.4808,0.0705
1997,11,14,0.893,-0.4668,0.0687
1997,11,15,0.8995,-0.4544,0.0669
1997,11,16,0.9066,-0.4402,0.0669
1997,11,17,0.9135,-0.426,0.0652
1997,11,18,0.9194,-0.4132,0.0634
1997,11,19,0.9259,-0.3988,0.0617
1997,11,20,0.9321,-0.3842,0.0599
1997,11,21,0.9289,-0.3659,0.0576
1997,11,22,0.934,-0.3529,0.0558
1997,11,23,0.9394,-0.3382,0.0558
1997,11,24,0.9447,-0.3234,0.0541
1997,11,25,0.9498,-0.3086,0.0523
1997,11,26,0.9546,-0.2937,0.0506
1997,11,27,0.9587,-0.2803,0.0488
1997,11,28,0.963,-0.2653,0.0471
1997,11,29,0.9672,-0.2501,0.0454
1997,11,30,0.9613,-0.2326,0.0432
1997,12,1,0.9649,-0.2175,0.0415
1997,12,2,0.9683,-0.2023,0.0397
1997,12,3,0.9714,-0.1871,0.038
1997,12,4,0.9743,-0.1718,0.0363
1997,12,5,0.9769,-0.1565,0.0346
1997,12,6,0.9793,-0.1411,0.0328
1997,12,7,0.9716,-0.1245,0.0308
1997,12,8,0.9735,-0.1092,0.0291
1997,12,9,0.9751,-0.0939,0.0274
1997,12,10,0.9765,-0.0786,0.0257
1997,12,11,0.9778,-0.0615,0.0239
1997,12,12,0.9687,-0.0457,0.022
1997,12,13,0.9693,-0.0305,0.0203
1997,12,14,0.9697,-0.0135,0.0186
1997,12,15,0.9699,0.0017,0.0169
1997,12,16,0.9697,0.0169,0.0152
1997,12,17,0.9593,0.0335,0.0134
1997,12,18,0.9587,0.0486,0.0117
1997,12,19,0.9577,0.0653,0.0101
1997,12,20,0.9566,0.0803,0.0067
1997,12,21,0.9451,0.096,0.005
1997,12,22,0.9433,0.1125,0.0033
1997,12,23,0.9412,0.1289,0.0017
1997,12,24,0.9391,0.1437,0
1997,12,25,0.9266,0.1584,-0.0016
1997,12,26,0.9237,0.1745,-0.0033
1997,12,27,0.9205,0.1906,-0.0049
1997,12,28,0.917,0.2066,-0.0082
1997,12,29,0.9035,0.2202,-0.0097
1997,12,30,0.8995,0.236,-0.0114
1997,12,31,0.8948,0.2532,-0.013
1998,1,1,0.8806,0.2659,-0.0145
1998,1,2,0.8758,0.2812,-0.0161
1998,1,3,0.8702,0.2979,-0.0193
1998,1,4,0.8554,0.3097,-0.0206
1998,1,5,0.8493,0.326,-0.0222
1998,1,6,0.8434,0.3408,-0.0238
1998,1,7,0.8275,0.353,-0.0251
1998,1,8,0.8205,0.3687,-0.0283
1998,1,9,0.8132,0.3844,-0.0298
1998,1,10,0.7967,0.3955,-0.0311
1998,1,11,0.7889,0.4107,-0.0326
1998,1,12,0.7808,0.4257,-0.0342
1998,1,13,0.7637,0.4356,-0.0369
1998,1,14,0.7552,0.4502,-0.0384
1998,1,15,0.7455,0.4658,-0.0399
1998,1,16,0.728,0.4746,-0.041
1998,1,17,0.7178,0.4896,-0.044
1998,1,18,0.7073,0.5045,-0.0455
1998,1,19,0.6894,0.512,-0.0465
1998,1,20,0.6785,0.5263,-0.048
1998,1,21,0.6672,0.5403,-0.0495
1998,1,22,0.648,0.5476,-0.0519
1998,1,23,0.6354,0.5621,-0.0534
1998,1,24,0.616,0.5685,-0.0542
1998,1,25,0.6039,0.5812,-0.0557
1998,1,26,0.5905,0.5947,-0.0571
1998,1,27,0.5699,0.6006,-0.0579
1998,1,28,0.5571,0.6122,-0.0608
1998,1,29,0.543,0.6246,-0.0622
1998,1,30,0.5222,0.629,-0.0629
1998,1,31,0.5078,0.6406,-0.0643
1998,2,1,0.4859,0.6448,-0.065
1998,2,2,0.4711,0.6556,-0.0664
1998,2,3,0.4549,0.6668,-0.0678
1998,2,4,0.4341,0.6685,-0.0683
1998,2,5,0.4176,0.6788,-0.0697
1998,2,6,0.4008,0.6887,-0.0711
1998,2,7,0.379,0.6894,-0.0716
1998,2,8,0.3608,0.699,-0.073
1998,2,9,0.3392,0.6985,-0.0734
1998,2,10,0.322,0.7065,-0.0748
1998,2,11,0.3033,0.7146,-0.0761
1998,2,12,0.2808,0.7129,-0.0765
1998,2,13,0.262,0.7199,-0.0778
1998,2,14,0.243,0.7263,-0.0792
1998,2,15,0.221,0.7229,-0.0781
1998,2,16,0.2007,0.7287,-0.0794
1998,2,17,0.1792,0.7239,-0.0797
1998,2,18,0.1588,0.7285,-0.081
1998,2,19,0.1384,0.7326,-0.081
1998,2,20,0.1163,0.7263,-0.0812
1998,2,21,0.096,0.7292,-0.0812
1998,2,22,0.0756,0.7315,-0.0825
1998,2,23,0.0531,0.7235,-0.0814
1998,2,24,0.0316,0.7246,-0.0826
1998,2,25,0.0114,0.7252,-0.0826
1998,2,26,-0.01,0.7153,-0.0815
1998,2,27,-0.0312,0.7145,-0.0828
1998,2,28,-0.0536,0.7132,-0.0828
1998,3,1,-0.0737,0.7014,-0.0816
1998,3,2,-0.0957,0.6988,-0.0816
1998,3,3,-0.1164,0.6956,-0.0816
