Team,Points,GoalDifference,Manager,ManagerHireDate
Leicester City,81,32,Claudio Ranieri,07/13/2015
Arsenal,71,29,Arsène Wenger,10/01/1996
Tottenham Hotspur,70,34,Mauricio Pochettino,05/27/2014
Manchester City,66,30,Manuel Pellegrini,06/14/2013
Manchester United,66,14,Louis van Gaal,07/14/2014
Southampton,63,18,Ronald Koeman,06/16/2014
West Ham United,62,14,Slaven Bili?,06/09/2015
Liverpool,60,13,Jürgen Klopp,10/08/2015
Stoke City,51,-14,Mark Hughes,05/30/2013
Chelsea,50,6,Guus Hiddink,12/19/2015
Everton,47,4,David Unsworth,05/12/2016
Swansea City,47,-10,Francesco Guidolin,01/18/2016
Watford,45,-10,Quique Sánchez Flores,06/05/2015
West Bromwich Albion,43,-14,Tony Pulis,01/01/2015
Crystal Palace,42,-12,Alan Pardew,01/02/2015
Bournemouth,42,-22,Eddie Howe,10/12/2012
Sunderland,39,-14,Sam Allardyce,10/09/2015
Newcastle United,37,-21,Rafael Benítez,03/11/2016
Norwich City,34,-28,Alex Neil,01/09/2015
Aston Villa,17,-49,Eric Black,03/29/2016
