Team,Payroll_M__,Manager,ManagerHireData,ManagerNationality
Arsenal,192,Arsène Wenger,10/01/1996,France
Aston Villa,65.1,Eric Black,03/29/2016,Scotland
Bournemouth,25,Eddie Howe,10/12/2012,England
Chelsea,215.6,Guus Hiddink,12/19/2015,Netherlands
Crystal Palace,54.3,Alan Pardew,01/02/2015,England
Everton,74.7,David Unsworth,05/12/2016,England
Leicester City,48.2,Claudio Ranieri,07/13/2015,Italy
Liverpool,152,Jürgen Klopp,10/08/2015,Germany
Manchester City,193.8,Manuel Pellegrini,06/14/2013,Chile
Manchester United,203,Louis van Gaal,07/14/2014,Netherlands
Newcastle United,75.8,Rafael Benítez,03/11/2016,Spain
Norwich City,37,Alex Neil,01/09/2015,Scotland
Southampton,59.5,Ronald Koeman,06/16/2014,Netherlands
Stoke City,72.3,Mark Hughes,05/30/2013,Wales
Sunderland,71,Sam Allardyce,10/09/2015,England
Swansea City,51,Francesco Guidolin,01/18/2016,Italy
Tottenham Hotspur,110.5,Mauricio Pochettino,05/27/2014,Argentina
Watford,29,Quique Sánchez Flores,06/05/2015,Spain
West Bromwich Albion,68.5,Tony Pulis,01/01/2015,Wales
West Ham United,69.5,Slaven Bili?,06/09/2015,Croatia
