Player,Team,Position,Nationality
Philippe Coutinho,Liverpool,attacking midfielder,Brazilian
Olivier Giroud,Arsenal,striker,French
Yannick Bolasie,Crystal Palace,winger,Congolese
Sergio Agüero,Manchester City,striker,Argentine
Romelu Lukaku,Everton,striker,Belgian
Toby Alderweireld,Tottenham Hotspur,central defender,Belgian
Chris Smalling,Manchester United,central defender,English
Harry Kane,Tottenham Hotspur,forward,English
Francis Coquelin,Arsenal,defensive midfielder,French
Mesut Özil,Arsenal,attacking midfielder,German
