Team,Points,HomeWins,HomeDraws,HomeLosses,AwayWins,AwayDraws,AwayLosses,GoalDifference
Leicester City,81,12,6,1,11,6,2,32
Arsenal,71,12,4,3,8,7,4,29
Tottenham Hotspur,70,10,6,3,9,7,3,34
Manchester City,66,12,2,5,7,7,5,30
Manchester United,66,12,5,2,7,4,8,14
Southampton,63,11,3,5,7,6,6,18
West Ham United,62,9,7,3,7,7,5,14
Liverpool,60,8,8,3,8,4,7,13
Stoke City,51,8,4,7,6,5,8,-14
Chelsea,50,5,9,5,7,5,7,6
Everton,47,6,5,8,5,9,5,4
Swansea City,47,8,6,5,4,5,10,-10
Watford,45,6,6,7,6,3,10,-10
West Bromwich Albion,43,6,5,8,4,8,7,-14
Crystal Palace,42,6,3,10,5,6,8,-12
Bournemouth,42,5,5,9,6,4,9,-22
Sunderland,39,6,6,7,3,6,10,-14
Newcastle United,37,7,7,5,2,3,14,-21
Norwich City,34,6,5,8,3,2,14,-28
Aston Villa,17,2,5,12,1,3,15,-49
