hp,mpg,wt
80,35.7,1915
67,26,1963
74,36,1980
67,38,1995
61,32,2003
65,37.2,2019
67,32.3,2065
88,27,2100
65,46.6,2110
75,28,2125
68,29.5,2135
70,34.5,2150
68,30,2155
75,28,2155
75,29,2171
75,26,2246
75,32.2,2265
84,27.2,2490
75,25,2542
90,33.5,2556
92,25.8,2620
96,24,2702
82,31,2720
90,27,2735
89,25.5,2755
116,25.4,2900
108,19,2930
110,25,2945
88,18,3139
90,19.4,3210
100,15,3336
72,15,3432
98,NaN,3525
78,18,3574
105,18,3613
150,14,3672
150,17,3672
130,13,3870
150,15,3892
110,NaN,3907
150,18.5,3940
153,14,4129
152,14.5,4215
190,15.5,4325
200,10,4376
180,16.5,4380
190,13,4422
170,16,4668
150,13,4699
175,13,5140
