Temp,Year
-0.19,1880
-0.1,1881
-0.08,1882
-0.19,1883
-0.26,1884
-0.3,1885
-0.29,1886
-0.32,1887
-0.19,1888
-0.1,1889
-0.35,1890
-0.23,1891
-0.25,1892
-0.28,1893
-0.29,1894
-0.2,1895
-0.14,1896
-0.1,1897
-0.27,1898
-0.15,1899
-0.08,1900
-0.14,1901
-0.27,1902
-0.35,1903
-0.43,1904
-0.27,1905
-0.21,1906
-0.39,1907
-0.42,1908
-0.46,1909
-0.42,1910
-0.44,1911
-0.34,1912
-0.33,1913
-0.15,1914
-0.1,1915
-0.33,1916
-0.39,1917
-0.25,1918
-0.22,1919
-0.25,1920
-0.2,1921
-0.26,1922
-0.23,1923
-0.27,1924
-0.19,1925
-0.09,1926
-0.2,1927
-0.21,1928
-0.35,1929
-0.13,1930
-0.08,1931
-0.15,1932
-0.27,1933
-0.12,1934
-0.18,1935
-0.14,1936
-0.01,1937
-0.01,1938
-0.02,1939
0.09,1940
0.13,1941
0.1,1942
0.14,1943
0.26,1944
0.13,1945
-0.03,1946
-0.04,1947
-0.09,1948
-0.09,1949
-0.18,1950
-0.07,1951
0.01,1952
0.08,1953
-0.12,1954
-0.14,1955
-0.19,1956
0.04,1957
0.06,1958
0.03,1959
-0.03,1960
0.05,1961
0.02,1962
0.06,1963
-0.21,1964
-0.1,1965
-0.05,1966
-0.03,1967
-0.07,1968
0.06,1969
0.03,1970
-0.09,1971
0.01,1972
0.15,1973
-0.08,1974
-0.01,1975
-0.11,1976
0.18,1977
0.07,1978
0.17,1979
0.28,1980
0.33,1981
0.13,1982
0.31,1983
0.16,1984
0.12,1985
0.19,1986
0.34,1987
0.4,1988
0.29,1989
0.44,1990
0.42,1991
0.23,1992
0.24,1993
0.32,1994
0.46,1995
0.34,1996
0.47,1997
0.63,1998
0.42,1999
0.42,2000
0.54,2001
0.63,2002
0.62,2003
0.54,2004
0.69,2005
0.63,2006
0.66,2007
0.53,2008
0.64,2009
0.72,2010
0.6,2011
0.63,2012
0.65,2013
0.74,2014
0.87,2015
