Date,Residential,Commercial,Industrial,Total
1/1/1990,95420231,62498967,75187693,240874655
2/1/1990,74498370,56912068,74606540,213362594
3/1/1990,71901767,57979978,76841977,214067173
4/1/1990,65190618,56480718,76238153,205071739
5/1/1990,62881008,58940835,78758806,208151658
6/1/1990,73899811,64609125,80676340,227042513
7/1/1990,90935492,70948145,81116187,251589853
8/1/1990,88563829,71119498,84045130,252113432
9/1/1990,86239965,69295956,81611206,245181443
10/1/1990,69595203,63098049,81959284,222306541
11/1/1990,66428238,58650288,77666097,209892183
12/1/1990,78464162,60492934,76814288,222900878
1/1/1991,93854576,63355384,76262174,241208372
2/1/1991,79444016,58596173,73867697,219169956
3/1/1991,73862548,58168650,74872180,214189211
4/1/1991,65887836,57161478,75888484,206341259
5/1/1991,67266873,61451570,80416482,217298520
6/1/1991,80947065,68014994,80725656,237976539
7/1/1991,94569114,71883046,81775445,256897592
8/1/1991,92966539,72378189,84131301,258261379
9/1/1991,84536461,69524688,82139054,244491486
10/1/1991,69256478,63457836,81404686,221625878
11/1/1991,70906273,60148881,78353372,216717257
12/1/1991,81919575,61522713,76746860,
1/1/1992,91472367,62207647,77353205,238701992
2/1/1992,82166086,59648400,76894482,226160547
3/1/1992,73753733,59375528,79310535,219927249
4/1/1992,68450124,57874988,78216442,211939567
5/1/1992,64782539,60380159,,213685860
6/1/1992,70906637,65026392,83496283,227301266
7/1/1992,88765464,71211088,84823937,253154785
8/1/1992,88505744,70622498,85703755,253118975
9/1/1992,,68237201,83877169,240099683
10/1/1992,69962112,63833216,83312550,224834295
11/1/1992,70061583,59976391,81096935,218543989
12/1/1992,87519433,62877023,77829307,235897266
1/1/1993,93792370,64373911,77305371,243302348
2/1/1993,,60980090,76503060,228554933
3/1/1993,83053786,,79438591,232626090
4/1/1993,69702639,59816134,78915253,215852470
5/1/1993,63882663,61818065,81528591,214634431
6/1/1993,76580103,68482657,84270948,237339172
7/1/1993,101040539,76052704,84807577,270168633
8/1/1993,102191754,76942364,86224197,273822926
9/1/1993,88905699,,83257430,252624982
10/1/1993,71786478,65591621,82821581,228383214
11/1/1993,72725759,61349756,81102990,222884652
12/1/1993,87694328,64625647,80988668,241268485
1/1/1994,103824773,67333719,80503402,
2/1/1994,89682978,63278100,77962430,238869073
3/1/1994,79883397,63199101,80696511,231654914
4/1/1994,69492472,62181767,80770453,220032349
5/1/1994,67156660,63633581,83624504,221988465
6/1/1994,84094554,73323437,86860093,252719831
7/1/1994,103618549,78742552,86841762,277957564
8/1/1994,96751342,77672076,89750324,272838941
9/1/1994,85350828,73477263,87598244,254849176
10/1/1994,71685160,67556439,86332954,233808080
11/1/1994,71073494,63708533,83898276,226624312
12/1/1994,85867486,66162897,83142285,243308688
1/1/1995,96552600,68984247,81828369,255279801
2/1/1995,86678934,65476209,79284045,239080051
3/1/1995,79464735,66351106,82930556,236407863
4/1/1995,68584474,64020748,81944647,221898872
5/1/1995,70102383,66937350,85146235,229624199
6/1/1995,84229052,75083971,87618813,
