Name,Location,Region,Length,Type,Year,Continent
Guangzhou Metro Line 3,Guangzhou,China,60400,Metro,2010,Asia
Gotthard Base Tunnel,Central Swiss Alps,Switzerland,57104,Railway,2016,Europe
Beijing Subway Line 10,Beijing,China,57100,Metro,2012,Asia
Seikan Tunnel,Tsugaru Strait,Japan,53850,Railway,1988,Asia
Channel Tunnel,English Channel,United Kingdom/France,50450,Railway,1994,Europe
Seoul Subway: Line 5,Seoul,South Korea,47600,Metro,1995,Asia
Serpukhovsko-Timiryazevskaya Line,Moscow Metro,Russia,41500,Metro,1983,Europe
Metro Madrid: L-12(Metro Sur),Madrid,Spain,40900,Metro,1999,Europe
Tocho-mae - Shiodome -Hikarigaoka (Toei Oedo Line),Tokyo,Japan,40700,Metro,1991,Asia
Shanghai Subway: Line 7,Shanghai,China,40200,Metro,2011,Asia
Chengdu Metro Line 2,Chengdu,China,38643,Metro,2013,Asia
Seoul Subway: Line 3(Apgujeong-Ogeum),Seoul,South Korea,38200,Metro,2010,Asia
Kaluzhsko-Rizhskaya Line,Moscow Metro,Russia,37800,Metro,1958,Europe
Shenzhen Subway:Luobao Line,Shenzhen,China,37497,Metro,2011,Asia
Shenzhen Subway:Shekou Line,Shenzhen,China,36146,Metro,2011,Asia
Mass Rapid Transit (Singapore): Circle Line,Singapore,Singapore,35700,Metro,2012,Asia
Busan Metro: Line 2(Dongwon-Jangsan),Busan,South Korea,35500,Metro,2009,Asia
Seoul Subway: Line 6,Seoul,South Korea,35100,Metro,2001,Asia
Seoul Subway: Line 7(Cheongdam-Bupyeong-gu Office),Seoul,South Korea,35100,Metro,2012,Asia
L tschberg Base Tunnel,Bernese Alps,Switzerland,34577,Railway,2007,Europe
Metro Madrid: L-7,Madrid,Spain,32919,Metro,1974,Europe
New Guanjiao Tunnel,Qinghai,China,32645,Railway,2014,Asia
Meijo Line - Meik Line,Nagoya Municipal Subway,Japan,32400,Metro,1965,Asia
Guangzhou Subway: Line 2,Guangzhou,China,32000,Metro,2010,Asia
Rathaus Spandau-Rudow(U7),Berlin U-Bahn,Germany,31800,Metro,1924,Europe
Seoul Metropolitan Subway: Bundang Line(Seoul Forest-Jukjeon),Seoul,South Korea,31400,Metro,1994,Asia
Daegu Metro: Line 2,<missing>,South Korea,31400,Metro,2005,Asia
Beijing Subway: Line 1,Beijing,China,31040,Metro,1971,Asia
Beijing Subway: Line 4,Beijing,China,30950,Metro,2009,Asia
Côte-Vertu -Montmorency (Line 2 Orange),Montreal Metro,Canada,30798,Metro,1966,North America
Shanghai Subway: Line 2,Shanghai,China,30187,Metro,2000,Asia
Parnas - Kupchino (line 2),Saint Petersburg Metro,Russia,30100,Metro,1961,Europe
Guangzhou Subway: Line 5,Guangzhou,China,29900,Metro,2009,Asia
Shanghai Subway: Line 8,Shanghai,China,29650,Metro,2007,Asia
Prospekt Veteranov - Devyatkino (line 1),Saint Petersburg Metro,Russia,29600,Metro,1955,Europe
Shanghai Subway: Line 10,Shanghai,China,29600,Metro,2010,Asia
Taipei Metro: Blue Line,Taipei,Taiwan,28200,Metro,1999,Asia
Guadarrama Tunnel,Sierra de Guadarrama,Spain,28377,Railway,2007,Europe
Lyublinsko-Dmitrovskaya Line,Moscow Metro,Russia,28200,Metro,1995,Europe
Seoul Subway: Line 9(Gimpo Airport-Sports Complex),Seoul,South Korea,28100,Metro,2015,Asia
Taihang Tunnel,Taihang Mountains,China,27848,Railway,2007,Asia
Morden - East Finchley(Northern line),London Underground,United Kingdom,27800,Metro,1890,Europe
Shenyang Subway: Line 1,Shenyang,China,27800,Metro,2010,Asia
Seoul Metropolitan Subway: Incheon Line 1(Bakchon-International Business District),Incheon,South Korea,27000,Metro,1999,Asia
