GameTime,Place,Opponent,Points
17/05/2016,H,AFC Bournemouth,3
12-Dec-2015 17:30:00,A,AFC Bournemouth,0
28/02/2016,H,Arsenal FC,3
04/10/2015,A,Arsenal FC,0
16-Apr-2016 15:00:00,H,Aston Villa,3
14-Aug-2015 19:45:00,A,Aston Villa,3
28-Dec-2015 17:30:00,H,Chelsea FC,1
07/02/2016,A,Chelsea FC,1
20-Apr-2016 20:00:00,H,Crystal Palace,3
31/10/2015,A,Crystal Palace,1
03-Apr-2016 16:00:00,H,Everton FC,3
17/10/2015,A,Everton FC,3
01/05/2016,H,Leicester City,1
28/11/2015,A,Leicester City,1
12/09/2015,H,Liverpool FC,3
17-Jan-2016 14:05:00,A,Liverpool FC,3
25/10/2015,H,Manchester City,1
20/03/2016,A,Manchester City,3
22-Aug-2015 12:45:00,H,Newcastle United,1
12-Jan-2016 19:45:00,A,Newcastle United,1
19-Dec-2015 15:00:00,H,Norwich City,0
07/05/2016,A,Norwich City,3
23-Jan-2016 15:00:00,H,Southampton FC,0
20/09/2015,A,Southampton FC,3
02/02/2016,H,Stoke City,3
26-Dec-2015 12:45:00,A,Stoke City,0
26/09/2015,H,Sunderland AFC,3
13/02/2016,A,Sunderland AFC,0
02-Jan-2016 15:00:00,H,Swansea City,3
30-Aug-2015 16:00:00,A,Swansea City,0
08-Aug-2015 12:45:00,H,Tottenham Hotspur,3
10-Apr-2016 16:30:00,A,Tottenham Hotspur,0
02/03/2016,H,Watford FC,3
21/11/2015,A,Watford FC,3
07/11/2015,H,West Bromwich Albion,3
06/03/2016,A,West Bromwich Albion,0
05-Dec-2015 15:00:00,H,West Ham United,1
10/05/2016,A,West Ham United,0
