homeWins,homeLosses,awayWins,awayLosses,Team,homeDraws,awayDraws,homeGF,homeGA,awayGF,awayGA
12,1,11,2,Leicester City,6,6,35,18,33,18
12,3,8,4,Arsenal,4,7,31,11,34,25
10,3,9,3,Tottenham Hotspur,6,7,35,15,34,20
12,5,7,5,Manchester City,2,7,47,21,24,20
12,2,7,8,Manchester United,5,4,27,9,22,26
11,5,7,6,Southampton,3,6,39,22,20,19
9,3,7,5,West Ham United,7,7,34,26,31,25
8,3,8,7,Liverpool,8,4,33,22,30,28
8,7,6,8,Stoke City,4,5,22,24,19,31
5,5,7,7,Chelsea,9,5,32,30,27,23
6,8,5,5,Everton,5,9,35,30,24,25
8,5,4,10,Swansea City,6,5,20,20,22,32
6,7,6,10,Watford,6,3,20,19,20,31
6,8,4,7,West Bromwich Albion,5,8,20,26,14,22
5,9,6,9,Bournemouth,5,4,23,34,22,33
6,10,5,8,Crystal Palace,3,6,19,23,20,28
6,7,3,10,Sunderland,6,6,23,20,25,42
7,5,2,14,Newcastle United,7,3,32,24,12,41
6,8,3,14,Norwich City,5,2,26,30,13,37
2,12,1,15,Aston Villa,5,3,14,35,13,41
