height_m,bldg_name,yr,city
818.0832,Burj Dubai ,2009,Dubai
509.3208,Taipei 101 ,2004,Taipei
491.9472,Shanghai World Financial Center,2008,Shanghai
452.0184,Petronas Tower 1 ,1998,Kuala Lumpur
452.0184,Petronas Tower 2 ,1998,Kuala Lumpur
449.8848,Nanjing Greenland Financial Center,2009,Nanjing
442.2648,Sears Tower ,1974,Chicago
437.388,Guangzhou West Tower ,2009,Guangzhou
420.624,Jin Mao Tower ,1999,Shanghai
415.1376,Two International Finance Centre,2003,Hong Kong
415.1376,Trump International Hotel & Tower,2009,Chicago
391.0584,CITIC Plaza ,1997,Guangzhou
384.048,Shun Hing Square ,1996,Shenzhen
381,Empire State Building ,1931,New York City
373.9896,Central Plaza ,1992,Hong Kong
367.284,Bank of China Tower ,1990,Hong Kong
365.76,Bank of America Tower ,2009,New York City
363.0168,Almas Tower ,2009,Dubai
354.4824,Emirates Office Tower ,2000,Dubai
347.472,Tuntex Sky Tower ,1997,Kaohsiung
346.2528,Aon Center ,1973,Chicago
345.948,The Center ,1998,Hong Kong
343.5096,John Hancock Center ,1969,Chicago
333.1464,Rose Tower ,2007,Dubai
333.1464,Shimao International Plaza,2006,Shanghai
331.3176,Minsheng Bank Building ,2007,Wuhan
330.0984,Ryugyong Hotel ,NaN,Pyongyang
330.0984,China World Trade Center Tower III,2009,Beijing
327.9648,The Index ,2009,Dubai
322.4784,Q1 Tower ,2005,Gold Coast City
320.9544,Burj Al Arab ,1999,Dubai
318.8208,Chrysler Building ,1930,New York City
318.8208,Nina Tower ,2007,Hong Kong
318.8208,New York Times Tower ,2007,New York City
311.8104,Bank of America Plaza ,1992,Atlanta
310.2864,US Bank Tower ,1989,Los Angeles
309.9816,Menara Telekom ,2001,Kuala Lumpur
309.0672,Jumeirah Emirates Towers Hotel,2000,Dubai
306.9336,AT&T Corporate Center ,1989,Chicago
306.0192,"The Address, Downtown Burj Dubai",2008,Dubai
305.4096,JPMorgan Chase Tower ,1982,Houston
303.8856,Baiyoke Tower II ,1997,Bangkok
303.276,Two Prudential Plaza ,1990,Chicago
302.3616,Wells Fargo Plaza ,1983,Houston
302.3616,Kingdom Centre ,2002,Riyadh
299.9232,Aspire Tower ,2007,Doha
299.9232,Arraya 2 ,2009,Kuwait City
298.3992,One Island East Centre ,2008,Hong Kong
298.0944,First Bank Tower ,1976,Toronto
298.0944,Shanghai Wheelock Square ,2009,Shanghai
297.18,Eureka Tower ,2006,Melbourne
296.5704,Comcast Center ,2008,Philadelphia
296.2656,Yokohama Landmark Tower ,1993,Yokohama
295.9608,Emirates Crown ,2008,Dubai
292.9128,311 South Wacker ,1990,Chicago
291.6936,SEG Plaza ,2000,Shenzhen
290.1696,American International Building,1932,New York City
288.6456,Key Tower ,1991,Cleveland
288.036,Plaza 66 ,2001,Shanghai
288.036,One Liberty Place ,1987,Philadelphia
285.5976,Columbia Center ,1985,Seattle
284.988,Millennium Tower ,2006,Dubai
284.6832,Tomorrow Square ,2003,Shanghai
283.1592,Chongqing World Trade Center,2005,Chongqing
282.8544,Cheung Kong Centre ,1999,Hong Kong
282.5496,The Trump Building ,1930,New York City
280.7208,Bank of America Plaza ,1985,Dallas
280.1112,Republic Plaza ,1996,Singapore
280.1112,OUB Centre ,1988,Singapore
280.1112,UOB Plaza One ,1992,Singapore
278.892,Citigroup Center ,1977,New York City
278.2824,Hong Kong New World Tower ,2002,Shanghai
276.1488,Diwang International Commerce Center,2006,Nanning
274.9296,Scotia Tower ,1988,Toronto
274.6248,Williams Tower ,1983,Houston
274.32,Moscow ,2009,Moscow
273.1008,Wuhan World Trade Tower ,1998,Wuhan
270.0528,Renaissance Tower ,1974,Dallas
270.0528,The Cullinan I ,2008,Hong Kong
270.0528,The Cullinan II ,2008,Hong Kong
269.4432,China International Center Tower B,2007,Guangzhou
269.4432,Dapeng International Plaza,NaN,Guangzhou
269.1384,One Lujiazui ,2008,Shanghai
269.1384,21st Century Tower ,2003,Dubai
268.5288,Naberezhnaya Tower C ,2007,Moscow
267.0048,Al Faisaliyah Center ,2000,Riyadh
265.4808,900 North Michigan ,1989,Chicago
265.4808,Bank of America Corporate Center,1992,Charlotte
265.4808,SunTrust Plaza ,1992,Atlanta
264.8712,Al Kazim Tower 1 ,2008,Dubai
264.8712,Al Kazim Tower 2 ,2008,Dubai
264.8712,Bocom Financial Towers ,2002,Shanghai
264.8712,120 Collins Street ,1991,Melbourne
263.9568,Triumph-Palace ,2005,Moscow
263.652,"Tower Palace Three, Tower G",2004,Seoul
262.4328,Trump World Tower ,2001,New York City
262.128,Shenzhen Special Zone Press Tower,1998,Shenzhen
261.8232,Water Tower Place ,1976,Chicago
261.8232,Grand Gateway Shanghai I ,2005,Shanghai
261.8232,Grand Gateway Shanghai II ,2005,Shanghai
261.5184,Aon Center ,1973,Los Angeles
260.9088,Grand Lisboa ,2008,Macao
260.9088,Sapphire ,2009,Istanbul
260.9088,Hotel Panorama ,2007,Hong Kong
260.9088,Canada Trust Tower ,1990,Toronto
259.9944,101 Collins Street ,1991,Melbourne
259.9944,Fortune Plaza Office Building 1,2008,Beijing
259.9944,The Vision Tower ,2009,Dubai
259.9944,Dual Tower 1 ,2007,Manama
259.9944,Dual Tower 2 ,2007,Manama
259.9944,Post & Telecommunication Hub,2003,Guangzhou
259.9944,Transamerica Pyramid ,1972,San Francisco
259.08,Chase Tower ,1969,Chicago
259.08,GE Building ,1933,New York City
259.08,Commerzbank Tower ,1997,Frankfurt am Main
258.4704,PBCOM Tower ,2000,Makati
258.4704,Two Liberty Place ,1990,Philadelphia
257.8608,Lanko Grand Hyatt Hotel ,2004,Chongqing
257.2512,Park Tower ,2000,Chicago
256.6416,MesseTurm ,1990,Frankfurt am Main
256.3368,U.S. Steel Tower ,1970,Pittsburgh
256.3368,Sorrento 1 ,2003,Hong Kong
256.032,Emirates Marina Serviced Apartments & Spa,2007,Dubai
256.032,"Mok-dong Hyperion I, Tower A",2003,Seoul
