BuildingName	City	Height_feet_
"Burj Dubai"	"Dubai"	2684
"Taipei 101"	"Taipei"	1671
"Shanghai World Financial Center"	"Shanghai"	1614
"Petronas Tower 1"	"Kuala Lumpur"	1483
"Petronas Tower 2"	"Kuala Lumpur"	1483
"Nanjing Greenland Financial Center"	"Nanjing"	1476
"Sears Tower"	"Chicago"	1451
"Guangzhou West Tower"	"Guangzhou"	1435
"Jin Mao Tower"	"Shanghai"	1380
"Two International Finance Centre"	"Hong Kong"	1362
"Trump International Hotel & Tower"	"Chicago"	1362
"CITIC Plaza"	"Guangzhou"	1283
"Shun Hing Square"	"Shenzhen"	1260
"Empire State Building"	"New York City"	1250
