Date,Belgium,France,Germany,Italy,Netherlands,UK,US,EuroAvg
01/08/1996,1.1,0.8,1.03,1.07,1.16,0.8,0.9,0.9933
01/15/1996,1.1,0.79,1.02,1.08,1.16,0.82,0.9,0.995
01/22/1996,1.07,0.77,1.03,1.05,1.13,0.69,0.9,0.9567
01/29/1996,1.06,0.75,1.01,1.04,1.12,0.66,0.89,0.94
02/05/1996,1.07,0.76,1.04,1.06,1.13,0.66,0.89,0.9533
02/12/1996,1.07,0.76,1.04,1.06,1.13,0.65,0.88,0.9517
02/19/1996,1.1,0.78,1.08,1.07,1.18,0.66,0.89,0.9783
03/04/1996,1.08,0.79,1.01,1.11,1.17,0.65,0.93,0.9683
03/11/1996,1.07,0.78,1.04,1.11,1.17,0.65,0.93,0.97
03/18/1996,1.12,0.8,1.09,1.13,1.19,0.64,0.94,0.995
03/25/1996,1.11,0.82,1.08,1.15,1.25,0.63,0.96,1.0067
04/15/1996,1.22,0.87,1.16,1.19,1.32,0.68,1.04,1.0733
04/22/1996,1.22,0.88,1.12,1.17,1.31,0.68,1.06,1.0633
05/06/1996,1.21,0.9,1.18,1.18,1.35,0.64,1.08,1.0767
05/13/1996,1.2,0.9,1.14,1.17,1.34,0.67,1.08,1.07
05/20/1996,1.2,0.89,1.15,1.17,1.33,0.66,1.09,1.0667
05/27/1996,1.19,0.88,1.14,1.16,1.3,0.65,1.08,1.0533
06/03/1996,1.17,0.87,1.14,1.17,1.28,0.66,1.07,1.0483
06/10/1996,1.11,0.84,1.09,1.15,1.24,0.64,1.06,1.0117
06/17/1996,1.12,0.85,1.08,1.15,1.25,0.64,1.06,1.015
06/24/1996,1.11,0.84,1.09,1.16,1.24,0.63,1.04,1.0117
07/01/1996,1.12,0.84,1.06,1.16,1.25,0.63,1.03,1.01
07/08/1996,1.11,0.84,1.08,1.17,1.26,0.63,1.03,1.015
07/15/1996,1.16,0.85,1.12,1.17,1.28,0.62,1.03,1.0333
07/22/1996,1.18,0.87,1.18,1.19,1.31,0.68,1.03,1.0683
07/29/1996,1.16,0.87,1.14,1.18,1.32,0.68,1.02,1.0583
08/05/1996,1.16,0.86,1.19,1.19,1.33,0.67,1.01,1.0667
08/19/1996,1.15,0.85,1.17,1.19,1.33,0.75,1,1.0733
08/26/1996,1.16,0.87,1.16,1.2,1.36,0.76,1,1.085
09/02/1996,1.16,0.87,1.15,1.19,1.34,0.82,0.99,1.0883
09/09/1996,1.2,0.88,1.15,1.2,1.27,0.82,1,1.0867
09/16/1996,1.19,0.89,1.17,1.18,1.27,0.81,1,1.085
