fleet,testType
'HONDA FIT 2015','VEHICLE INTO BARRIER'
'Kia Sedona 2015','VEHICLE INTO POLE'
'Chrysler Pacifica 2017','VEHICLE INTO BARRIER'
'NISSAN FRONTIER 2017','VEHICLE INTO BARRIER'
'Audi Q7 2018','IMPACTOR INTO VEHICLE'
'Ford Expedition 2018','VEHICLE INTO POLE'
'Honda Odyssey 2018','IMPACTOR INTO VEHICLE'
'Nissan Versa 2018','IMPACTOR INTO VEHICLE'
'SUBARU CROSSTREK 2018','VEHICLE INTO BARRIER'
'Toyota Prius 2018','VEHICLE INTO POLE'
'CHEVROLET CRUZE 2019','IMPACTOR INTO VEHICLE'
'CHEVROLET SILVERADO 1500 2019','VEHICLE INTO POLE'
'FORD F250 SUPERCAB 2019','IMPACTOR INTO VEHICLE'
'Toyota Corolla 2019','VEHICLE INTO POLE'
'Volkswagen Jetta 2019','VEHICLE INTO BARRIER'
