headX,headY,headZ
0.26452,-0.29069,0.173018
0.015417,-0.106866,0.296161
0.326796,-0.413239,0.111446
0.326796,-0.229415,0.049875
0.389072,-0.29069,0.049875
0.389072,-0.351964,-0.13484
0.451347,-0.351964,-0.073268
0.451347,-0.351964,0.111446
0.26452,-0.168141,0.111446
0.139968,-0.045592,0.357732
0.326796,-0.351964,0.173018
0.139968,-0.29069,0.173018
0.077693,-0.168141,0.357732
0.077693,-0.106866,0.296161
0.26452,-0.106866,0.234589
0.26452,-0.168141,0.111446
0.451347,-0.413239,0.111446
0.451347,-0.351964,0.111446
0.202244,-0.168141,0.173018
0.202244,-0.168141,0.173018
0.326796,-0.229415,0.111446
0.26452,-0.229415,0.173018
0.26452,-0.229415,0.173018
0.202244,-0.168141,0.296161
0.077693,-0.106866,0.357732
0.139968,-0.106866,0.234589
0.202244,-0.106866,0.234589
0.26452,-0.168141,0.173018
0.202244,-0.229415,0.111446
0.202244,-0.229415,0.111446
0.26452,-0.29069,-0.073268
0.389072,-0.351964,-0.011697
0.26452,-0.229415,0.111446
0.139968,-0.045592,0.234589
0.139968,0.015683,0.296161
0.077693,-0.045592,0.234589
0.202244,-0.106866,0.296161
0.139968,-0.106866,0.296161
0.26452,-0.229415,0.173018
0.326796,-0.168141,0.111446
0.26452,-0.168141,-0.011697
0.326796,-0.229415,-0.073268
0.451347,-0.29069,-0.011697
0.389072,-0.351964,-0.011697
0.202244,-0.168141,0.173018
0.139968,-0.106866,0.296161
0.202244,-0.045592,0.173018
0.202244,-0.106866,0.173018
0.139968,-0.168141,0.049875
0.202244,-0.168141,0.234589
0.139968,-0.045592,0.173018
0.202244,-0.168141,0.173018
0.26452,-0.168141,-0.011697
0.389072,-0.29069,-0.13484
0.202244,-0.168141,0.049875
0.077693,-0.045592,0.111446
0.139968,-0.106866,0.173018
0.139968,-0.168141,0.111446
0.202244,-0.168141,0.111446
0.202244,-0.229415,0.049875
0.139968,-0.045592,0.173018
-0.046859,-0.045592,0.234589
0.139968,-0.106866,0.173018
0.139968,-0.168141,0.173018
0.326796,-0.351964,-0.011697
0.389072,-0.29069,-0.011697
0.26452,-0.168141,0.049875
0.202244,-0.168141,0.111446
0.326796,-0.229415,0.111446
0.26452,-0.29069,-0.073268
0.077693,-0.106866,0.173018
-0.046859,0.015683,0.173018
0.015417,0.015683,0.234589
0.139968,-0.106866,0.111446
0.202244,-0.106866,0.111446
0.202244,-0.106866,0.111446
0.202244,-0.045592,0.049875
0.202244,-0.168141,-0.073268
0.202244,-0.168141,0.049875
0.202244,-0.168141,-0.011697
0.26452,-0.168141,0.111446
0.077693,-0.045592,0.234589
-0.171411,0.015683,0.234589
-0.046859,-0.045592,0.173018
0.077693,-0.045592,0.111446
0.139968,-0.045592,0.111446
0.202244,-0.168141,0.111446
0.202244,-0.106866,0.049875
0.202244,-0.168141,-0.011697
0.202244,-0.168141,-0.011697
0.326796,-0.29069,-0.13484
0.326796,-0.29069,-0.073268
0.139968,-0.168141,0.111446
0.077693,-0.106866,0.111446
0.015417,-0.168141,0.173018
0.139968,-0.106866,0.111446
0.139968,-0.106866,0.111446
0.202244,-0.106866,0.173018
0.077693,-0.106866,0.049875
0.077693,-0.106866,0.111446
0.139968,-0.106866,-0.011697
0.202244,-0.168141,-0.011697
0.26452,-0.168141,-0.073268
0.389072,-0.229415,-0.196411
0.202244,-0.168141,0.111446
0.077693,-0.045592,0.173018
0.077693,-0.045592,0.111446
0.077693,0.015683,0.111446
0.202244,-0.045592,0.111446
0.077693,-0.045592,0.111446
0.077693,-0.168141,0.049875
0.139968,-0.229415,-0.073268
0.202244,-0.229415,-0.073268
0.139968,-0.168141,-0.011697
0.139968,-0.29069,0.111446
0.139968,-0.229415,0.049875
0.139968,-0.168141,0.049875
0.139968,-0.106866,0.111446
0.139968,-0.168141,-0.011697
0.077693,-0.045592,0.111446
0.015417,-0.106866,0.111446
0.015417,-0.045592,0.173018
0.015417,-0.045592,0.111446
0.139968,-0.045592,0.111446
0.139968,-0.106866,0.049875
0.139968,-0.29069,-0.13484
0.139968,-0.229415,-0.13484
0.139968,-0.106866,0.111446
0.139968,-0.168141,-0.073268
0.202244,-0.229415,-0.073268
0.139968,-0.229415,-0.073268
0.139968,-0.045592,0.111446
-0.109135,-0.106866,0.173018
0.077693,-0.045592,0.173018
0.139968,-0.168141,0.111446
0.077693,-0.106866,0.111446
0.077693,-0.106866,0.111446
0.139968,-0.168141,0.111446
0.202244,-0.229415,-0.011697
0.202244,-0.29069,-0.13484
0.139968,-0.168141,-0.011697
0.015417,-0.045592,0.111446
0.015417,0.015683,0.111446
-0.109135,-0.106866,0.111446
-0.046859,-0.106866,0.173018
0.015417,-0.045592,0.234589
0.015417,-0.168141,0.111446
0.077693,-0.106866,0.173018
0.26452,-0.29069,-0.257983
0.202244,-0.229415,-0.073268
0.077693,-0.168141,0.111446
-0.046859,-0.106866,0.049875
0.077693,-0.106866,0.049875
0.077693,-0.045592,0.111446
-0.046859,-0.168141,0.049875
-0.046859,0.015683,0.111446
-0.046859,-0.045592,0.111446
0.077693,-0.168141,0.049875
0.202244,-0.351964,-0.196411
-0.046859,-0.045592,0.173018
0.139968,-0.168141,-0.011697
0.015417,-0.168141,-0.073268
-0.046859,-0.045592,-0.011697
-0.046859,0.015683,0.111446
0.077693,-0.168141,-0.13484
