ID,GroupCount,max_Windspeed,max_HurrCat,FirstTS,HurrDurrs,mean_Windspeed
101869,7,104,2,04-Oct-1869 00:00:00,36:00:00,90.7143
101870,1,104,2,23-Oct-1870 12:00:00,00:00:00,104
101878,28,115,3,13-Oct-1878 00:00:00,162:00:00,88.0714
101880,28,92,1,10-Oct-1880 00:00:00,162:00:00,82.3571
101886,24,121,3,08-Oct-1886 00:00:00,138:00:00,85.6667
101887,17,81,1,14-Sep-1887 18:00:00,96:00:00,67.1765
101891,13,58,TS,03-Nov-1891 00:00:00,72:00:00,50.6154
101893,33,132,4,27-Sep-1893 12:00:00,192:00:00,79.1212
101898,12,46,TS,21-Oct-1898 00:00:00,66:00:00,42.5
101899,16,63,TS,07-Nov-1899 00:00:00,90:00:00,45.75
101901,47,52,TS,21/09/1901 00:00,276:00:00,40.8298
101903,35,81,1,17/11/1903 06:00,204:00:00,67.4571
101906,23,52,TS,15/10/1906 06:00,132:00:00,40.6957
101908,18,40,TS,19/10/1908 12:00,102:00:00,39.7222
101909,21,58,TS,24/09/1909 00:00,120:00:00,41.6667
101916,35,86,1,13/09/1916 12:00,204:00:00,57.1143
101924,39,167,5,14/10/1924 00:00,228:00:00,84.8205
101926,57,150,4,14/10/1926 06:00,336:00:00,84.5088
101931,18,63,TS,18/10/1931 12:00,102:00:00,50.7778
101932,10,46,TS,28/09/1932 00:00,54:00:00,43.6
101933,14,40,TS,26-Aug-1933 18:00:00,78:00:00,33.8571
101934,12,98,2,01/10/1934 12:00,66:00:00,76.25
101936,11,81,1,28-Aug-1936 06:00:00,60:00:00,61.8182
101942,28,98,2,05/11/1942 00:00,162:00:00,61.7143
101943,11,46,TS,20/10/1943 18:00,60:00:00,42.8182
101944,9,46,TS,01/10/1944 06:00,48:00:00,43.4444
101945,13,98,2,02/10/1945 18:00,72:00:00,63.3846
101949,39,132,4,27/09/1949 06:00,228:00:00,56.8974
101950,26,121,3,11/10/1950 12:00,150:00:00,82.3846
101951,23,81,1,15/10/1951 06:00,132:00:00,54.4348
101953,29,69,TS,03/10/1953 18:00,168:00:00,54.7586
101954,21,52,TS,16/11/1954 18:00,120:00:00,48.1429
101955,35,173,5,21/09/1955 18:00,204:00:00,115.7714
101958,33,92,1,05/10/1958 06:00,192:00:00,71.6061
101959,11,58,TS,06/10/1959 18:00,60:00:00,37.9091
101961,34,81,1,01/11/1961 12:00,198:00:00,47
101964,30,150,4,28/09/1964 12:00,174:00:00,84.8
101966,15,52,TS,27/09/1966 00:00,84:00:00,38.6
101969,19,75,1,21/09/1969 12:00,108:00:00,62.5263
101970,33,75,1,20/10/1970 12:00,192:00:00,57.4848
101971,37,81,1,11/09/1971 18:00,216:00:00,41.4324
101974,27,75,1,27/09/1974 12:00,156:00:00,49.5185
101976,26,75,1,22/10/1976 18:00,150:00:00,48.5385
101978,14,52,TS,02/10/1978 12:00,78:00:00,40.5714
101980,35,98,2,07/11/1980 18:00,204:00:00,51.7714
101981,15,52,TS,29/10/1981 12:00,84:00:00,40.6667
101984,25,58,TS,25/09/1984 12:00,144:00:00,46.76
101985,28,86,1,26/10/1985 00:00,162:00:00,60.8214
101988,12,46,TS,28/09/1988 18:00,66:00:00,34.75
101989,18,86,1,12/10/1989 12:00,102:00:00,52.6667
101990,62,86,1,21/09/1990 06:00,366:00:00,42.5161
101995,22,40,TS,22-Aug-1995 18:00:00,126:00:00,30.1364
101996,46,69,TS,04/10/1996 18:00,270:00:00,50.1087
101998,54,104,2,21/09/1998 06:00,318:00:00,67.2407
101999,32,98,2,17/10/1999 18:00,186:00:00,64.2812
102000,28,92,1,25/09/2000 12:00,162:00:00,57.7857
102001,10,52,TS,06/10/2001 12:00,54:00:00,42.7
102002,9,58,TS,17/09/2002 12:00,48:00:00,40.3333
102003,21,104,2,24/09/2003 12:00,120:00:00,73.8571
102004,64,121,3,13/09/2004 18:00,378:00:00,67.1875
102005,5,52,TS,22-Aug-2005 12:00:00,24:00:00,39.2
102006,24,86,1,27/09/2006 18:00,138:00:00,61.2083
102007,8,40,TS,23/09/2007 00:00,42:00:00,38.75
102008,33,63,TS,02/09/2008 00:00,192:00:00,39.9091
102010,51,138,4,12/09/2010 06:00,300:00:00,60.7647
111870,20,81,1,30-Oct-1870 00:00:00,114:00:00,71
111878,32,104,2,18-Oct-1878 00:00:00,186:00:00,75.4062
111880,18,69,TS,20-Oct-1880 12:00:00,102:00:00,55.8333
111886,24,52,TS,10-Oct-1886 00:00:00,138:00:00,46.5
111887,11,58,TS,06-Oct-1887 12:00:00,60:00:00,50.4545
111893,14,58,TS,20-Oct-1893 12:00:00,78:00:00,46.2857
111898,35,58,TS,27-Oct-1898 06:00:00,204:00:00,54
111901,39,69,TS,05/10/1901 00:00,228:00:00,47.6923
111906,22,81,1,05/11/1906 00:00,126:00:00,49.5
111909,30,121,3,06/10/1909 12:00,174:00:00,82.0333
111916,31,121,3,17/09/1916 12:00,180:00:00,88.5806
111924,38,81,1,05/11/1924 12:00,222:00:00,56.9737
111926,18,40,TS,12/11/1926 06:00,102:00:00,38
111931,18,58,TS,01/11/1931 12:00,102:00:00,46.2778
111932,47,69,TS,07/10/1932 00:00,276:00:00,44.8723
111933,31,138,4,31-Aug-1933 06:00:00,180:00:00,81.3871
111934,22,58,TS,01/10/1934 12:00,126:00:00,42.8182
111936,39,109,2,28-Aug-1936 06:00:00,228:00:00,94
111944,44,121,3,12/10/1944 18:00,258:00:00,76.7955
111945,26,98,2,10/10/1945 12:00,150:00:00,54.2308
111949,30,104,2,12/10/1949 12:00,174:00:00,67.8
111950,26,121,3,13/10/1950 06:00,150:00:00,71.6923
111953,16,69,TS,05/10/1953 06:00,90:00:00,50.0625
111954,29,81,1,30-Dec-1954 06:00:00,168:00:00,61.8966
111955,18,63,TS,10/10/1955 06:00,102:00:00,55
111959,18,81,1,17/10/1959 12:00,102:00:00,64.7222
111961,15,69,TS,05/11/1961 00:00,84:00:00,61.8
111964,35,127,3,08/10/1964 12:00,204:00:00,56.2571
111966,39,81,1,04/11/1966 12:00,228:00:00,60.4615
111969,23,69,TS,24/09/1969 12:00,132:00:00,57.6522
111971,15,63,TS,21/09/1971 06:00,84:00:00,45.0667
111974,21,52,TS,04/10/1974 00:00,120:00:00,39.6667
111978,16,52,TS,07/10/1978 18:00,90:00:00,46.1875
111980,13,86,1,25/11/1980 00:00,72:00:00,74.9231
111981,20,86,1,03/11/1981 00:00,114:00:00,52.2
111984,56,104,2,07/10/1984 06:00,330:00:00,67.7143
111985,33,121,3,15/11/1985 18:00,192:00:00,83.8485
111988,51,144,4,10/10/1988 18:00,300:00:00,72.7843
111989,24,58,TS,28/11/1989 12:00,138:00:00,41.7917
111990,25,81,1,03/10/1990 12:00,144:00:00,56.72
111995,31,52,TS,26-Aug-1995 12:00:00,180:00:00,42.6452
111996,6,52,TS,11/10/1996 12:00,30:00:00,40.5
111998,26,104,2,23/09/1998 12:00,150:00:00,61.5
111999,16,40,TS,28/10/1999 18:00,90:00:00,31.125
112000,32,138,4,28/09/2000 18:00,186:00:00,65.5625
112001,19,81,1,11/10/2001 06:00,108:00:00,61.8421
112002,88,86,1,20/09/2002 18:00,522:00:00,48.5568
112003,58,127,3,25/09/2003 18:00,342:00:00,72.6552
112004,48,144,4,16/09/2004 06:00,282:00:00,88.2708
112005,31,173,5,23-Aug-2005 18:00:00,180:00:00,83.129
112007,19,75,1,25/09/2007 00:00,108:00:00,50.3158
112008,23,86,1,25/09/2008 00:00,132:00:00,58.4783
112010,19,127,3,13/09/2010 18:00,108:00:00,61.2632
11851,13,92,1,25-Jun-1851 00:00:00,72:00:00,68.2308
11852,45,115,3,19-Aug-1852 00:00:00,264:00:00,84.5556
11853,1,58,TS,05-Aug-1853 12:00:00,00:00:00,58
11854,11,81,1,25-Jun-1854 00:00:00,60:00:00,67.1818
11855,1,104,2,06-Aug-1855 12:00:00,00:00:00,104
11856,14,150,4,09-Aug-1856 00:00:00,78:00:00,99.6429
11857,8,58,TS,30-Jun-1857 00:00:00,42:00:00,58
11858,1,81,1,12-Jun-1858 12:00:00,00:00:00,81
11859,1,104,2,01-Jul-1859 12:00:00,00:00:00,104
11860,34,127,3,08-Aug-1860 00:00:00,198:00:00,73.3235
11861,28,104,2,06-Jul-1861 00:00:00,162:00:00,75.9286
11862,12,58,TS,15-Jun-1862 00:00:00,66:00:00,58
11863,8,104,2,08-Aug-1863 00:00:00,42:00:00,89.5
11864,12,81,1,16-Jul-1864 00:00:00,66:00:00,77
11865,1,58,TS,30-May-1865 00:00:00,00:00:00,58
11866,19,104,2,11-Jul-1866 12:00:00,108:00:00,99.1053
11867,10,81,1,21-Jun-1867 12:00:00,54:00:00,62.3
11868,18,104,2,03-Sep-1868 00:00:00,102:00:00,89.7778
11869,4,104,2,12-Aug-1869 00:00:00,18:00:00,104
11870,1,81,1,30-Jul-1870 18:00:00,00:00:00,81
11871,20,58,TS,01-Jun-1871 00:00:00,114:00:00,50.9
11872,20,58,TS,09-Jul-1872 00:00:00,114:00:00,48.6
11873,7,46,TS,01-Jun-1873 06:00:00,36:00:00,44.4286
11874,14,58,TS,02-Jul-1874 00:00:00,78:00:00,52.0714
