Number,Timestamp,Latitude,Longitude,Country,Windspeed,Pressure
1,25-Jun-1851 00:00:00,28,265.2,N/A,92,NaN
1,25-Jun-1851 06:00:00,28,264.6,N/A,92,NaN
1,25-Jun-1851 12:00:00,28,264,N/A,92,NaN
1,25-Jun-1851 18:00:00,28.1,263.5,N/A,92,NaN
1,26-Jun-1851 00:00:00,28.2,263,United States,81,NaN
1,26-Jun-1851 06:00:00,28.3,262.4,United States,69,NaN
1,26-Jun-1851 12:00:00,28.4,261.7,United States,69,NaN
1,26-Jun-1851 18:00:00,28.6,261.1,United States,58,NaN
1,27-Jun-1851 00:00:00,29,260.6,United States,58,NaN
1,27-Jun-1851 06:00:00,29.5,260.2,United States,46,NaN
1,27-Jun-1851 12:00:00,30,260,United States,46,NaN
1,27-Jun-1851 18:00:00,30.5,259.9,United States,46,NaN
1,28-Jun-1851 00:00:00,31,259.8,United States,46,NaN
2,05-Jul-1851 12:00:00,22.2,262.4,N/A,92,NaN
3,10-Jul-1851 12:00:00,12,300,N/A,58,NaN
4,16-Aug-1851 00:00:00,13.4,312,N/A,46,NaN
4,16-Aug-1851 06:00:00,13.7,310.5,N/A,46,NaN
4,16-Aug-1851 12:00:00,14,309,N/A,58,NaN
4,16-Aug-1851 18:00:00,14.4,307.2,N/A,58,NaN
4,17-Aug-1851 00:00:00,14.9,305.4,N/A,69,NaN
4,17-Aug-1851 06:00:00,15.4,303.5,N/A,69,NaN
4,17-Aug-1851 12:00:00,15.9,301.5,N/A,81,NaN
4,17-Aug-1851 18:00:00,16.1,299.6,N/A,81,NaN
4,18-Aug-1851 00:00:00,16.6,297.5,N/A,92,NaN
4,18-Aug-1851 06:00:00,16.9,295.9,N/A,92,NaN
4,18-Aug-1851 12:00:00,17.2,294,N/A,104,NaN
4,18-Aug-1851 18:00:00,17.6,292.4,N/A,104,NaN
4,19-Aug-1851 00:00:00,18,290.7,N/A,104,NaN
4,19-Aug-1851 06:00:00,18.4,288.9,Dominican Republic,81,NaN
4,19-Aug-1851 12:00:00,18.9,287.4,Haiti,69,NaN
4,19-Aug-1851 18:00:00,19.4,285.7,N/A,69,NaN
4,20-Aug-1851 00:00:00,19.9,284.1,N/A,81,NaN
4,20-Aug-1851 06:00:00,20.5,282.4,N/A,81,NaN
4,20-Aug-1851 12:00:00,21.2,281,N/A,81,NaN
4,20-Aug-1851 18:00:00,21.9,279.6,N/A,81,NaN
4,21-Aug-1851 00:00:00,22.6,278.6,Cuba,69,NaN
4,21-Aug-1851 06:00:00,23.2,277.5,N/A,69,NaN
4,21-Aug-1851 12:00:00,23.9,276.4,N/A,81,NaN
4,21-Aug-1851 18:00:00,24.4,275.7,N/A,81,NaN
4,22-Aug-1851 00:00:00,25,275.1,N/A,92,NaN
4,22-Aug-1851 06:00:00,25.6,274.5,N/A,92,NaN
4,22-Aug-1851 12:00:00,26.2,274,N/A,104,NaN
4,22-Aug-1851 18:00:00,26.8,273.7,N/A,104,NaN
4,23-Aug-1851 00:00:00,27.4,273.5,N/A,115,NaN
4,23-Aug-1851 06:00:00,28,273.4,N/A,115,NaN
4,23-Aug-1851 12:00:00,28.5,273.4,N/A,115,NaN
4,23-Aug-1851 18:00:00,29.6,273.9,N/A,115,NaN
4,24-Aug-1851 00:00:00,30.7,274.9,United States,104,NaN
4,24-Aug-1851 06:00:00,31.6,275.9,United States,81,NaN
4,24-Aug-1851 12:00:00,32.5,277,United States,69,NaN
4,24-Aug-1851 18:00:00,33.4,278.6,United States,58,NaN
4,25-Aug-1851 00:00:00,34,280,United States,46,NaN
4,25-Aug-1851 06:00:00,34.8,281.4,United States,46,NaN
4,25-Aug-1851 12:00:00,35.8,283,United States,46,NaN
4,25-Aug-1851 18:00:00,36.8,284.9,N/A,46,NaN
4,26-Aug-1851 00:00:00,37.8,286.4,N/A,46,NaN
4,26-Aug-1851 06:00:00,38.9,288.2,N/A,46,NaN
4,26-Aug-1851 12:00:00,40,290,N/A,46,NaN
4,26-Aug-1851 18:00:00,41.3,293.2,N/A,46,NaN
4,27-Aug-1851 00:00:00,42.8,296.7,N/A,46,NaN
4,27-Aug-1851 06:00:00,44.5,299.8,N/A,46,NaN
4,27-Aug-1851 12:00:00,46.4,302.8,N/A,46,NaN
4,27-Aug-1851 18:00:00,48.5,305.8,Canada,46,NaN
5,13-Sep-1851 00:00:00,32.5,286.5,N/A,58,NaN
5,13-Sep-1851 06:00:00,32.5,286.5,N/A,58,NaN
5,13-Sep-1851 12:00:00,32.5,286.5,N/A,58,NaN
5,13-Sep-1851 18:00:00,32.5,286.5,N/A,58,NaN
5,14-Sep-1851 00:00:00,32.5,286.5,N/A,58,NaN
5,14-Sep-1851 06:00:00,32.5,286.5,N/A,58,NaN
5,14-Sep-1851 12:00:00,32.5,286.5,N/A,58,NaN
5,14-Sep-1851 18:00:00,32.5,286.5,N/A,58,NaN
5,15-Sep-1851 00:00:00,32.5,286.5,N/A,58,NaN
5,15-Sep-1851 06:00:00,32.5,286.5,N/A,58,NaN
5,15-Sep-1851 12:00:00,32.5,286.5,N/A,58,NaN
5,15-Sep-1851 18:00:00,32.5,286.5,N/A,58,NaN
5,16-Sep-1851 00:00:00,32.5,286.5,N/A,58,NaN
5,16-Sep-1851 06:00:00,32.5,286.5,N/A,58,NaN
5,16-Sep-1851 12:00:00,32.5,286.5,N/A,58,NaN
5,16-Sep-1851 18:00:00,32.5,286.5,N/A,58,NaN
6,16-Oct-1851 00:00:00,28.7,282,N/A,46,NaN
6,16-Oct-1851 06:00:00,29.1,282.2,N/A,46,NaN
6,16-Oct-1851 12:00:00,29.5,282.5,N/A,58,NaN
6,16-Oct-1851 18:00:00,30.1,282.9,N/A,58,NaN
6,17-Oct-1851 00:00:00,30.7,283.4,N/A,69,NaN
6,17-Oct-1851 06:00:00,31.2,283.7,N/A,69,NaN
6,17-Oct-1851 12:00:00,31.6,284.1,N/A,69,NaN
6,17-Oct-1851 18:00:00,32,284.5,N/A,69,NaN
6,18-Oct-1851 00:00:00,32.7,285.1,N/A,69,NaN
6,18-Oct-1851 06:00:00,33.3,285.7,N/A,69,NaN
6,18-Oct-1851 12:00:00,34,286.2,N/A,69,NaN
6,18-Oct-1851 18:00:00,35.3,287,N/A,69,NaN
6,19-Oct-1851 00:00:00,37,287.4,N/A,58,NaN
6,19-Oct-1851 06:00:00,38.5,287.9,N/A,58,NaN
6,19-Oct-1851 12:00:00,40.2,288.2,N/A,58,NaN
6,19-Oct-1851 18:00:00,42,288.4,United States,46,NaN
1,19-Aug-1852 00:00:00,20.5,292.9,N/A,69,NaN
1,19-Aug-1852 06:00:00,20.7,292,N/A,69,NaN
1,19-Aug-1852 12:00:00,20.9,291.2,N/A,69,NaN
1,19-Aug-1852 18:00:00,21.1,290.4,N/A,69,NaN
1,20-Aug-1852 00:00:00,21.2,289.4,N/A,81,NaN
1,20-Aug-1852 06:00:00,21.5,288.1,N/A,81,NaN
1,20-Aug-1852 12:00:00,21.7,287,N/A,81,NaN
1,20-Aug-1852 18:00:00,21.9,286,N/A,81,NaN
1,21-Aug-1852 00:00:00,22.1,285.1,N/A,92,NaN
1,21-Aug-1852 06:00:00,22.2,283.9,N/A,92,NaN
1,21-Aug-1852 12:00:00,22.6,282.9,N/A,92,NaN
1,21-Aug-1852 18:00:00,22.9,281.9,N/A,92,NaN
1,22-Aug-1852 00:00:00,23.2,280.7,N/A,104,NaN
1,22-Aug-1852 06:00:00,23.5,279.9,N/A,104,NaN
1,22-Aug-1852 12:00:00,23.8,278.9,N/A,104,NaN
1,22-Aug-1852 18:00:00,24.2,277.9,N/A,104,NaN
1,23-Aug-1852 00:00:00,24.7,276.9,N/A,104,NaN
1,23-Aug-1852 06:00:00,25.2,276.1,N/A,104,NaN
1,23-Aug-1852 12:00:00,25.7,275.4,N/A,104,NaN
1,23-Aug-1852 18:00:00,26.2,274.7,N/A,104,NaN
