Number,Timestamp,Country,Windspeed,Pressure,Location,HurrCat,elapsedTime
13,22/10/1998 00:00,N/A,35,1002,Sea,0,0
13,22/10/1998 06:00,N/A,35,1002,Sea,0,0.25
13,22/10/1998 12:00,N/A,35,1002,Sea,0,0.5
13,22/10/1998 18:00,N/A,40,1001,Sea,0,0.75
13,23/10/1998 00:00,N/A,46,1000,Sea,0,1
13,23/10/1998 06:00,N/A,52,999,Sea,0,1.25
13,23/10/1998 12:00,N/A,52,999,Sea,0,1.5
13,23/10/1998 18:00,N/A,58,998,Sea,0,1.75
13,24/10/1998 00:00,N/A,63,997,Sea,0,2
13,24/10/1998 06:00,N/A,75,990,Sea,1,2.25
13,24/10/1998 12:00,N/A,86,985,Sea,1,2.5
13,24/10/1998 18:00,N/A,104,980,Sea,2,2.75
13,25/10/1998 00:00,N/A,115,965,Sea,3,3
13,25/10/1998 06:00,N/A,121,951,Sea,3,3.25
13,25/10/1998 12:00,N/A,132,945,Sea,4,3.5
13,25/10/1998 18:00,N/A,144,926,Sea,4,3.75
13,26/10/1998 00:00,N/A,150,923,Sea,4,4
13,26/10/1998 06:00,N/A,155,922,Sea,4,4.25
13,26/10/1998 12:00,N/A,167,914,Sea,5,4.5
13,26/10/1998 18:00,N/A,178,905,Sea,5,4.75
13,27/10/1998 00:00,N/A,178,910,Sea,5,5
13,27/10/1998 06:00,N/A,173,917,Sea,5,5.25
13,27/10/1998 12:00,N/A,173,922,Sea,5,5.5
13,27/10/1998 18:00,N/A,167,928,Sea,5,5.75
13,28/10/1998 00:00,N/A,161,933,Sea,5,6
13,28/10/1998 06:00,N/A,150,938,Sea,4,6.25
13,28/10/1998 12:00,N/A,132,948,Sea,4,6.5
13,28/10/1998 18:00,N/A,109,959,Sea,2,6.75
13,29/10/1998 00:00,N/A,98,970,Sea,2,7
13,29/10/1998 06:00,N/A,86,979,Sea,1,7.25
13,29/10/1998 12:00,Honduras,81,987,Land,1,7.5
13,29/10/1998 18:00,Honduras,69,994,Land,0,7.75
13,30/10/1998 00:00,Honduras,63,995,Land,0,8
13,30/10/1998 06:00,Honduras,58,996,Land,0,8.25
13,30/10/1998 12:00,Honduras,52,997,Land,0,8.5
13,30/10/1998 18:00,Honduras,52,998,Land,0,8.75
13,31/10/1998 00:00,Honduras,52,999,Land,0,9
13,31/10/1998 06:00,Honduras,46,1000,Land,0,9.25
13,31/10/1998 12:00,Honduras,40,1000,Land,0,9.5
13,31/10/1998 18:00,Guatemala,35,1001,Land,0,9.75
13,01/11/1998 00:00,Guatemala,35,1002,Land,0,10
13,01/11/1998 06:00,Guatemala,29,1003,Land,0,10.25
13,01/11/1998 12:00,Guatemala,29,1005,Land,0,10.5
13,01/11/1998 18:00,Mexico,29,1005,Land,0,10.75
13,02/11/1998 00:00,Mexico,23,1005,Land,0,11
13,02/11/1998 06:00,Mexico,23,1005,Land,0,11.25
13,02/11/1998 12:00,Mexico,23,1005,Land,0,11.5
13,02/11/1998 18:00,N/A,23,1005,Sea,0,11.75
13,03/11/1998 00:00,N/A,23,1003,Sea,0,12
13,03/11/1998 06:00,N/A,23,1003,Sea,0,12.25
13,03/11/1998 12:00,N/A,29,1002,Sea,0,12.5
13,03/11/1998 18:00,N/A,46,997,Sea,0,12.75
13,04/11/1998 00:00,N/A,40,997,Sea,0,13
13,04/11/1998 06:00,Mexico,35,998,Land,0,13.25
13,04/11/1998 12:00,N/A,46,998,Sea,0,13.5
13,04/11/1998 18:00,N/A,46,993,Sea,0,13.75
13,05/11/1998 00:00,N/A,52,993,Sea,0,14
13,05/11/1998 06:00,N/A,58,990,Sea,0,14.25
13,05/11/1998 12:00,United States,63,987,Land,0,14.5
13,05/11/1998 18:00,N/A,58,992,Sea,0,14.75
13,06/11/1998 00:00,N/A,58,993,Sea,0,15
13,06/11/1998 06:00,N/A,58,992,Sea,0,15.25
13,06/11/1998 12:00,N/A,58,990,Sea,0,15.5
13,06/11/1998 18:00,N/A,58,989,Sea,0,15.75
13,07/11/1998 00:00,N/A,58,990,Sea,0,16
13,07/11/1998 06:00,N/A,58,992,Sea,0,16.25
13,07/11/1998 12:00,N/A,58,986,Sea,0,16.5
13,07/11/1998 18:00,N/A,69,972,Sea,0,16.75
13,08/11/1998 00:00,N/A,69,974,Sea,0,17
13,08/11/1998 06:00,N/A,69,972,Sea,0,17.25
13,08/11/1998 12:00,N/A,69,962,Sea,0,17.5
13,08/11/1998 18:00,N/A,69,956,Sea,0,17.75
13,09/11/1998 00:00,N/A,69,956,Sea,0,18
13,09/11/1998 06:00,N/A,69,956,Sea,0,18.25
13,09/11/1998 12:00,N/A,69,956,Sea,0,18.5
13,09/11/1998 18:00,N/A,63,960,Sea,0,18.75
