landWS,seaWS,ws
81,92,92
69,92,92
69,92,92
58,92,92
58,92,81
46,58,69
46,46,69
46,46,58
46,58,58
81,58,46
69,69,46
69,69,46
104,81,46
81,81,92
69,92,58
58,92,46
46,104,46
46,104,58
46,104,58
46,69,69
46,81,69
104,81,81
81,81,81
58,81,92
46,69,92
46,81,104
46,81,104
46,92,104
69,92,81
69,104,69
58,104,69
46,115,81
46,115,81
69,115,81
58,115,81
92,46,69
69,46,69
58,46,81
58,46,81
58,46,92
58,46,92
46,46,104
46,46,104
46,58,115
92,58,115
81,58,115
69,58,115
58,58,104
46,58,81
92,58,69
81,58,58
69,58,46
69,58,46
58,58,46
46,58,46
104,58,46
58,58,46
46,58,46
81,58,46
58,46,46
46,46,46
150,58,46
127,58,46
92,69,58
69,69,58
58,69,58
46,69,58
46,69,58
58,69,58
92,69,58
92,69,58
104,58,58
81,58,58
69,58,58
58,69,58
58,69,58
58,69,58
92,69,58
81,81,58
69,81,46
58,81,46
58,81,58
46,92,58
58,92,69
81,92,69
58,92,69
46,104,69
81,104,69
58,104,69
46,104,69
46,104,69
46,104,58
46,104,58
58,104,58
92,115,46
58,115,69
46,115,69
46,115,69
115,115,69
115,115,81
81,115,81
58,115,81
46,115,81
46,115,92
46,46,92
46,46,92
46,46,92
81,58,104
58,58,104
46,58,104
104,58,104
69,58,104
58,81,104
46,81,104
46,81,104
58,81,115
69,81,115
58,81,115
58,81,115
58,81,115
58,81,115
58,81,115
81,81,115
58,81,115
46,81,115
46,81,104
46,81,81
69,81,58
58,58,46
58,69,46
58,81,46
46,81,46
46,81,46
46,58,46
46,58,46
46,58,58
46,58,58
58,69,58
46,69,58
58,81,58
81,81,81
58,81,81
46,81,81
46,81,69
92,81,69
104,92,58
69,92,46
46,92,46
69,92,81
69,92,81
46,92,81
69,92,81
58,92,81
46,92,81
69,92,81
58,92,81
46,92,81
46,92,81
46,92,81
69,92,81
58,92,81
46,92,69
92,92,58
69,92,58
58,92,69
46,81,81
69,81,81
46,81,81
58,81,58
46,104,58
92,104,58
58,104,58
92,104,69
69,104,69
115,104,81
104,104,81
92,104,81
81,104,81
81,104,81
69,104,81
58,104,92
46,104,92
58,104,92
46,104,92
46,104,92
46,58,92
46,69,92
35,69,92
35,58,92
58,46,92
46,46,92
46,46,92
35,46,92
35,46,92
115,58,92
104,58,92
92,69,92
81,69,92
81,81,92
69,81,92
69,92,81
58,92,81
69,104,81
58,104,81
46,115,104
35,127,104
104,138,104
81,150,104
58,150,104
46,150,104
46,138,104
46,138,104
35,138,104
35,138,104
35,138,104
35,138,104
35,138,104
35,138,104
35,138,104
35,138,104
