latitude,longitude,temperature
-11.4,130.417,27.3469
-13.833,131.183,27.8859
-14.45,132.267,30.193
-11.15,132.133,28.5607
-11.65,133.383,28.3935
-13.333,133.083,27.4816
-13.667,134.333,27.8665
-13.983,136.467,27.3457
-13.767,143.117,26.2887
-12.783,143.3,26.4154
-14.967,145.317,26.7355
-16.45,123,32.21
-18.683,121.783,33.8912
-17.583,123.817,29.6923
-15.517,123.15,29.3931
-16.417,126.1,30.5656
-15.383,126.317,31.45
-16.633,128.45,30.2956
-17.383,131.117,27.9027
-18.333,130.633,28.1641
-16.4,131.017,28.4351
-16.433,136.067,28.6774
-18.65,135.95,31.3284
-17.2,137.933,29.2897
-17.75,139.533,28.1863
-18.75,138.7,29.0484
-17.683,141.067,28.871
-18.3,143.533,27.0935
-16,144.067,25.8718
-20.1,119.583,34.3183
-23.033,115.033,36.0098
-20.15,127.983,34.2204
-22.45,133.633,27.2315
-22.917,139.9,28.5581
-24.367,139.467,31.6475
-20.667,140.5,30.2802
-21.8,139.917,28.9319
-20.667,141.733,29.9823
-21.833,140.883,29.5455
-20.733,143.133,32.1016
-22.367,143.083,28.9794
-20.817,144.233,27.8713
-24.267,144.433,31.3017
-24.883,146.25,28.521
-20.55,147.833,24.6631
-20.533,150.383,25.9585
-24.15,151.883,26.1192
-27.717,114.167,26.0152
-29.267,117.683,30.3354
-29.2,116.017,26.398
-27.283,120.1,30.4373
-28.5,119.75,29.535
-28.883,121.317,26.2544
-25.783,122.967,32.107
-26.133,126.583,29.1734
-25.317,131.75,27.6191
-25.85,133.3,29.7
-28.067,145.683,26.1033
-28.033,147.483,27.6113
-26.483,147.967,28.1016
-28.05,148.6,24.906
-27.15,149.067,27.4629
-26.567,151.833,21.7061
-28.633,153.633,23.6044
-32.45,123.867,24.3883
-32.2,127.533,20.3323
-32.233,126.283,19.7043
-30.717,134.583,24.9637
-30.6,138.417,25.4347
-32.567,139.567,21.9518
-34.533,144.833,22.5074
-35.033,117.883,19.8129
-38.317,141.467,15.9911
-14.083,126.383,28.3726
-12.6,131.3,27.7659
-12.05,134.233,27.6194
-12,135.567,27.7304
-17.9,122.317,29.8992
-15.5,128.15,30.5344
-15.5,147.117,26.9829
-17.6,146,25.119
-19.417,146.533,22.1899
-19.45,147.483,25.1464
-21.667,115.117,31.0915
-20.717,116.767,32.0847
-21.183,119.75,32.7732
-20.183,130.017,27.4807
-23.467,134.683,26.26
-24.417,145.433,26.7714
-24.117,148.083,27.3603
-21.167,149.183,25.0056
-22.467,150.183,24.8125
-25.9,113.583,26.7319
-27.417,141.817,28.1774
-26.65,150.183,24.4911
-25.617,151.617,25.1577
-27.55,151.917,20.2463
-25.317,152.883,24.5028
-27.217,153.1,24.102
-30.3,115.033,23.3203
-31.467,115.867,22.8161
-33.3,117.333,23.7049
-32.45,118.9,25.3
-30.283,116.667,24.4004
-31.3,116.833,24.325
-33.883,119.1,18.8548
-34.033,115.1,18.7786
-32.217,121.75,21.0907
-33.55,120.7,19.5492
-34.95,116.717,18.1677
-34.75,137.517,19.7125
-34.25,135.717,19.5417
-33.783,138.217,19.7896
-32.883,144.317,23.6153
-30.85,143.067,25.5592
-34.717,146.517,21.8348
-30.983,148.383,23.4032
-31.317,149.267,19.6851
-30.95,150.25,22.1883
-30.533,151.617,16.6496
-33.283,151.217,19.2096
-31.883,152.517,21.1454
-35.717,137.517,17.6133
-37.183,139.8,15.9162
-35.067,139.233,18.7317
-35.117,142,21.1398
-37.017,141.267,17.8427
-36.667,142.3,18.861
-37.7,142.933,16.8377
-37.733,145.1,18.9944
-36.067,146.95,20.5839
-37.75,147.133,17.0457
-37.683,148.467,19.0107
-35.533,148.767,10.5489
-35.9,150.15,19.7117
-35.083,150.8,20.7396
-41,145.733,15.8734
-42.983,145.5,14.5254
-40.717,148.117,17.8954
