##  1	ANA	M = 25	SNBR = 1192	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
29-Jun-1991 12:00:00	25.9	78.0	23	1012
29-Jun-1991 18:00:00	25.9	79.0	23	1012
30-Jun-1991 00:00:00	25.9	80.0	23	1012
30-Jun-1991 06:00:00	26.0	80.9	23	1012
30-Jun-1991 12:00:00	26.2	81.8	23	1012
30-Jun-1991 18:00:00	26.7	82.4	23	1012
01-Jul-1991 00:00:00	27.3	82.7	23	1012
01-Jul-1991 06:00:00	28.0	82.7	23	1012
01-Jul-1991 12:00:00	28.7	82.5	23	1012
01-Jul-1991 18:00:00	29.3	82.2	23	1012
02-Jul-1991 00:00:00	29.9	81.6	23	1012
02-Jul-1991 06:00:00	30.4	81.0	23	1012
02-Jul-1991 12:00:00	30.9	80.3	23	1012
02-Jul-1991 18:00:00	31.3	79.7	29	1012
03-Jul-1991 00:00:00	31.5	79.0	29	1011
03-Jul-1991 06:00:00	32.5	77.4	29	1010
03-Jul-1991 12:00:00	33.9	75.4	35	1008
03-Jul-1991 18:00:00	35.2	73.4	35	1006
04-Jul-1991 00:00:00	36.2	70.7	46	1003
04-Jul-1991 06:00:00	37.1	67.8	52	1002
04-Jul-1991 12:00:00	37.6	64.7	52	1001
04-Jul-1991 18:00:00	37.9	61.1	52	1000
05-Jul-1991 00:00:00	38.0	57.5	52	1001
05-Jul-1991 06:00:00	37.5	54.2	46	1003
05-Jul-1991 12:00:00	37.0	50.7	40	1005
##  2	BOB	M = 53	SNBR = 1193	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
16-Aug-1991 00:00:00	25.6	74.3	29	1014
16-Aug-1991 06:00:00	25.7	74.9	29	1012
16-Aug-1991 12:00:00	25.9	75.4	35	1010
16-Aug-1991 18:00:00	26.4	75.8	40	1005
17-Aug-1991 00:00:00	27.1	76.2	46	1003
17-Aug-1991 06:00:00	27.8	76.5	52	998
17-Aug-1991 12:00:00	28.4	76.9	63	996
17-Aug-1991 18:00:00	29.0	77.1	75	986
18-Aug-1991 00:00:00	29.7	77.0	81	980
18-Aug-1991 06:00:00	30.5	76.9	86	979
18-Aug-1991 12:00:00	31.5	76.6	92	974
18-Aug-1991 18:00:00	33.0	76.1	98	965
19-Aug-1991 00:00:00	34.6	75.3	109	957
19-Aug-1991 06:00:00	36.5	74.5	115	950
19-Aug-1991 12:00:00	38.9	73.0	109	953
19-Aug-1991 18:00:00	41.4	71.4	98	964
20-Aug-1991 00:00:00	43.8	69.6	69	977
20-Aug-1991 06:00:00	45.6	67.6	58	987
20-Aug-1991 12:00:00	47.0	65.5	52	998
20-Aug-1991 18:00:00	48.4	61.9	46	1003
21-Aug-1991 00:00:00	49.8	58.3	46	1008
21-Aug-1991 06:00:00	50.9	54.9	46	1008
21-Aug-1991 12:00:00	51.6	51.4	40	1009
21-Aug-1991 18:00:00	51.9	47.3	35	1009
22-Aug-1991 00:00:00	51.9	42.8	35	1004
22-Aug-1991 06:00:00	51.5	38.3	40	1002
22-Aug-1991 12:00:00	50.7	34.1	46	994
22-Aug-1991 18:00:00	49.3	30.3	46	992
23-Aug-1991 00:00:00	47.7	26.9	46	992
23-Aug-1991 06:00:00	46.3	23.9	46	996
23-Aug-1991 12:00:00	45.3	21.4	40	1000
23-Aug-1991 18:00:00	44.2	19.9	35	1004
24-Aug-1991 00:00:00	43.1	19.4	29	1006
24-Aug-1991 06:00:00	42.4	19.1	29	1008
24-Aug-1991 12:00:00	42.2	18.6	29	1009
24-Aug-1991 18:00:00	42.1	18.1	29	1009
25-Aug-1991 00:00:00	41.9	17.9	29	1009
25-Aug-1991 06:00:00	41.7	17.8	29	1010
25-Aug-1991 12:00:00	41.3	17.6	29	1010
25-Aug-1991 18:00:00	40.9	17.3	29	1010
26-Aug-1991 00:00:00	40.5	16.8	29	1010
26-Aug-1991 06:00:00	40.2	16.0	29	1010
26-Aug-1991 12:00:00	40.0	15.2	23	1012
26-Aug-1991 18:00:00	39.9	14.4	23	1012
27-Aug-1991 00:00:00	39.9	13.8	23	1014
27-Aug-1991 06:00:00	40.0	13.1	23	1014
27-Aug-1991 12:00:00	40.0	12.4	23	1014
27-Aug-1991 18:00:00	40.0	11.8	23	1014
28-Aug-1991 00:00:00	40.0	11.3	17	1015
28-Aug-1991 06:00:00	40.0	10.9	17	1015
28-Aug-1991 12:00:00	40.0	10.5	17	1014
28-Aug-1991 18:00:00	40.0	10.1	12	1014
29-Aug-1991 00:00:00	40.0	9.9	12	1015
##  3	CLAUDETTE	M = 42	SNBR = 1194	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
04-Sep-1991 12:00:00	26.7	55.9	29	1014
04-Sep-1991 18:00:00	26.8	55.7	35	1012
05-Sep-1991 00:00:00	26.7	55.6	35	1010
05-Sep-1991 06:00:00	26.5	55.7	35	1008
05-Sep-1991 12:00:00	26.2	56.0	40	1004
05-Sep-1991 18:00:00	26.0	56.5	46	1000
06-Sep-1991 00:00:00	25.9	57.1	58	994
06-Sep-1991 06:00:00	26.0	57.9	69	987
06-Sep-1991 12:00:00	26.2	58.8	86	979
06-Sep-1991 18:00:00	26.4	59.7	109	965
07-Sep-1991 00:00:00	26.6	60.3	121	953
07-Sep-1991 06:00:00	26.8	61.0	127	946
07-Sep-1991 12:00:00	27.2	61.7	132	946
07-Sep-1991 18:00:00	27.7	62.4	115	960
08-Sep-1991 00:00:00	28.4	62.8	104	962
08-Sep-1991 06:00:00	29.2	63.1	98	964
08-Sep-1991 12:00:00	30.0	63.3	98	966
08-Sep-1991 18:00:00	31.0	63.2	92	967
09-Sep-1991 00:00:00	31.9	62.5	92	972
09-Sep-1991 06:00:00	32.9	61.4	86	976
09-Sep-1991 12:00:00	33.8	60.5	86	980
09-Sep-1991 18:00:00	34.2	59.0	86	984
10-Sep-1991 00:00:00	34.3	57.4	81	988
10-Sep-1991 06:00:00	33.9	56.0	69	991
10-Sep-1991 12:00:00	33.5	54.0	63	995
10-Sep-1991 18:00:00	33.4	51.8	52	998
11-Sep-1991 00:00:00	33.6	48.8	46	1001
11-Sep-1991 06:00:00	33.9	46.1	46	1004
11-Sep-1991 12:00:00	34.3	43.4	40	1006
11-Sep-1991 18:00:00	34.5	40.5	35	1009
12-Sep-1991 00:00:00	34.5	38.3	35	1010
12-Sep-1991 06:00:00	34.2	36.5	35	1011
12-Sep-1991 12:00:00	33.9	34.7	35	1012
12-Sep-1991 18:00:00	34.3	33.1	35	1013
13-Sep-1991 00:00:00	34.7	31.9	29	1014
13-Sep-1991 06:00:00	35.2	30.7	29	1015
13-Sep-1991 12:00:00	35.6	29.6	23	1016
13-Sep-1991 18:00:00	36.0	28.4	23	1017
14-Sep-1991 00:00:00	36.2	27.3	23	1017
14-Sep-1991 06:00:00	36.3	26.5	17	1017
14-Sep-1991 12:00:00	36.8	26.1	17	1018
14-Sep-1991 18:00:00	37.0	25.9	17	1018
##  4	DANNY	M = 19	SNBR = 1195	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
07-Sep-1991 00:00:00	10.4	25.8	29	1010
07-Sep-1991 06:00:00	10.2	27.5	29	1009
07-Sep-1991 12:00:00	10.0	29.2	29	1008
07-Sep-1991 18:00:00	9.8	30.6	35	1008
08-Sep-1991 00:00:00	9.7	32.0	35	1007
08-Sep-1991 06:00:00	9.8	33.4	35	1006
08-Sep-1991 12:00:00	10.3	35.0	40	1005
08-Sep-1991 18:00:00	10.8	36.5	46	1004
09-Sep-1991 00:00:00	11.3	37.9	46	1002
09-Sep-1991 06:00:00	11.8	39.6	52	1000
09-Sep-1991 12:00:00	12.5	41.5	52	999
09-Sep-1991 18:00:00	13.4	43.4	52	999
10-Sep-1991 00:00:00	14.2	45.2	52	998
10-Sep-1991 06:00:00	14.9	47.3	52	999
10-Sep-1991 12:00:00	15.3	49.7	52	999
10-Sep-1991 18:00:00	15.7	52.1	46	1000
11-Sep-1991 00:00:00	15.8	54.1	40	1002
11-Sep-1991 06:00:00	15.9	56.1	40	1005
11-Sep-1991 12:00:00	16.0	58.1	35	1010
##  5	ERIKA	M = 17	SNBR = 1196	
## Timestamp	Latitude	Longitude	Windspeed	Pressure
08-Sep-1991 18:00:00	24.2	49.1	29	1011
09-Sep-1991 00:00:00	25.4	50.0	29	1010
09-Sep-1991 06:00:00	26.8	50.9	35	1009
09-Sep-1991 12:00:00	27.8	52.3	35	1007
09-Sep-1991 18:00:00	29.3	53.1	40	1005
10-Sep-1991 00:00:00	31.2	51.7	46	1002
10-Sep-1991 06:00:00	33.0	49.3	52	1000
10-Sep-1991 12:00:00	34.7	46.1	58	998
10-Sep-1991 18:00:00	35.8	42.5	58	997
11-Sep-1991 00:00:00	36.5	38.7	58	997
11-Sep-1991 06:00:00	36.8	35.0	58	998
11-Sep-1991 12:00:00	37.0	31.9	52	1000
11-Sep-1991 18:00:00	37.1	29.3	46	1003
12-Sep-1991 00:00:00	37.3	27.2	40	1007
