Individual household electric power consumption
Measurements of electric power consumption in one household with a one-minute sampling rate.


Date||Time||Global active power||Global reactive power||Voltage||Global intensity||Sub metering 1||Sub metering 2||Sub metering 3

16/12/2006||18:46:00||4.204||0.186||234.200||17.800||0.000||1.000||16.000
16/12/2006||18:47:00||4.218||0.178||233.980||18.000||0.000||1.000||17.000
16/12/2006||18:48:00||2.786||0.188||234.990||12.000||0.000||2.000||17.000
16/12/2006||18:49:00||2.540||0.088||234.670||10.800||0.000||4.000||17.000
16/12/2006||18:50:00||2.496||0.080||233.920||10.600||0.000||3.000||17.000
16/12/2006||18:51:00||2.336||0.070||233.510||10.000||0.000||1.000||16.000
16/12/2006||18:52:00||2.322||0.000||233.440||9.800||0.000||0.000||17.000
16/12/2006||18:53:00||2.448||0.000||233.640||10.600||0.000||1.000||17.000
16/12/2006||18:54:00||4.298||0.000||232.390||18.400||0.000||1.000||16.000
16/12/2006||18:55:00||4.230||0.090||232.250||18.200||0.000||1.000||17.000
16/12/2006||18:56:00||4.230||0.090||232.320||18.200||0.000||2.000||16.000
16/12/2006||18:57:00||3.924||0.084||232.790||17.000||0.000||1.000||17.000
16/12/2006||18:58:00||4.218||0.090||232.090||18.000||0.000||1.000||17.000
16/12/2006||18:59:00||4.224||0.090||231.960||18.200||0.000||1.000||16.000
16/12/2006||19:00:00||4.070||0.088||231.990||17.400||0.000||1.000||17.000
16/12/2006||19:01:00||3.612||0.090||232.360||15.600||0.000||2.000||16.000
16/12/2006||19:02:00||3.458||0.090||232.710||14.800||0.000||1.000||17.000
16/12/2006||19:03:00||3.434||0.090||232.010||14.800||0.000||1.000||16.000
16/12/2006||19:04:00||3.366||0.000||232.780||14.400||0.000||1.000||17.000
16/12/2006||19:05:00||3.404||0.082||233.080||14.600||0.000||2.000||16.000
16/12/2006||19:06:00||3.382||0.074||233.690||14.400||0.000||0.000||17.000
16/12/2006||19:07:00||3.616||0.106||234.440||15.400||0.000||4.000||17.000
16/12/2006||19:08:00||3.476||0.092||234.600||14.800||0.000||3.000||17.000
16/12/2006||19:09:00||3.394||0.064||235.120||14.400||0.000||0.000||17.000
16/12/2006||19:10:00||3.400||0.000||234.280||14.400||0.000||1.000||17.000
16/12/2006||19:11:00||3.414||0.000||234.190||14.400||0.000||1.000||17.000
16/12/2006||19:12:00||3.432||0.000||234.690||14.600||0.000||1.000||16.000
16/12/2006||19:13:00||3.418||0.000||234.260||14.600||0.000||2.000||17.000
16/12/2006||19:14:00||3.392||0.000||233.300||14.400||0.000||1.000||17.000
16/12/2006||19:15:00||3.394||0.000||233.430||14.400||0.000||1.000||17.000
