Hurricane Data
Date,Hour,Latitude,Longitude,Windspeed,Pressure
05-Jun-2001,12,27.5,95.0,46,1007
05-Jun-2001,18,28.5,95.3,58,1002
06-Jun-2001,0,29.3,95.3,52,1003
06-Jun-2001,6,30.1,95.2,35,1006
06-Jun-2001,12,31.0,95.2,23,1005
06-Jun-2001,18,31.5,95.0,23,1005
07-Jun-2001,0,31.6,95.0,23,1005
07-Jun-2001,6,31.8,94.9,23,1006
07-Jun-2001,12,31.4,94.9,23,1006
07-Jun-2001,18,31.1,95.0,17,1007
08-Jun-2001,0,30.9,95.6,17,1002
08-Jun-2001,6,30.7,96.1,23,1004
08-Jun-2001,12,30.4,96.2,23,1007
08-Jun-2001,18,30.2,96.1,23,1007
09-Jun-2001,0,29.9,95.9,23,1007
09-Jun-2001,6,29.6,95.8,23,1007
09-Jun-2001,12,29.3,95.8,23,1007
09-Jun-2001,18,28.9,95.6,23,1008
10-Jun-2001,0,28.6,95.2,23,1008
10-Jun-2001,6,28.6,94.7,29,1007
10-Jun-2001,12,28.7,94.3,29,1006
10-Jun-2001,18,28.8,93.5,35,1006
11-Jun-2001,0,29.1,92.3,35,1005
11-Jun-2001,6,30.0,90.5,40,1003
11-Jun-2001,12,30.7,89.4,46,1000
11-Jun-2001,18,31.0,88.4,40,1002
12-Jun-2001,0,31.3,87.4,29,1004
12-Jun-2001,6,31.8,86.1,23,1005
12-Jun-2001,12,32.4,84.7,23,1006
12-Jun-2001,18,32.8,83.6,23,1006
13-Jun-2001,0,33.1,82.6,23,1006
13-Jun-2001,6,33.4,81.6,29,1004
13-Jun-2001,12,33.7,80.7,29,1005
13-Jun-2001,18,34.0,79.6,29,1006
14-Jun-2001,0,34.3,78.5,29,1006
14-Jun-2001,6,34.6,77.9,29,1006
14-Jun-2001,12,34.7,77.7,29,1007
14-Jun-2001,18,34.6,77.6,29,1008
15-Jun-2001,0,34.6,77.2,29,1008
15-Jun-2001,6,34.9,77.0,29,1008
15-Jun-2001,12,35.5,76.9,29,1008
15-Jun-2001,18,35.9,76.8,29,1009
16-Jun-2001,0,36.3,76.6,29,1007
16-Jun-2001,6,36.6,76.2,29,1007
16-Jun-2001,12,36.8,75.9,29,1007
16-Jun-2001,18,37.2,75.5,29,1006
17-Jun-2001,0,37.8,75.4,29,1006
17-Jun-2001,6,38.6,74.5,35,1005
17-Jun-2001,12,39.3,73.4,46,1004
17-Jun-2001,18,40.0,72.1,40,1005
18-Jun-2001,0,40.6,70.8,35,1006
18-Jun-2001,6,41.3,69.4,35,1008
18-Jun-2001,12,42.0,67.4,35,1009
18-Jun-2001,18,42.7,64.6,29,1011
19-Jun-2001,0,43.5,61.0,23,1012
02-Aug-2001,12,25.7,84.8,35,1011
02-Aug-2001,18,26.2,84.9,52,1010
03-Aug-2001,0,26.4,85.6,46,1007
03-Aug-2001,6,26.6,86.3,40,1008
03-Aug-2001,12,26.9,87.0,40,1007
03-Aug-2001,18,26.8,87.2,40,1007
04-Aug-2001,0,26.7,87.5,35,1005
04-Aug-2001,6,26.6,87.8,35,1005
04-Aug-2001,12,26.9,87.7,35,1006
04-Aug-2001,18,27.1,87.5,40,1005
05-Aug-2001,0,27.3,87.3,40,1003
05-Aug-2001,6,27.5,86.7,46,1004
05-Aug-2001,12,28.1,86.4,58,990
05-Aug-2001,18,28.6,86.4,69,991
06-Aug-2001,0,29.5,86.3,69,992
06-Aug-2001,6,30.6,86.4,69,991
06-Aug-2001,12,31.8,86.9,29,1007
06-Aug-2001,18,32.7,87.7,23,1009
07-Aug-2001,0,33.3,88.5,17,1012
07-Aug-2001,6,34.0,89.1,17,1015
07-Aug-2001,12,34.7,89.7,12,1017
07-Aug-2001,18,35.6,89.8,12,1018
08-Aug-2001,0,36.6,89.9,12,1016
08-Aug-2001,6,37.5,90.0,12,1017
14-Aug-2001,18,12.8,37.0,29,1010
15-Aug-2001,0,12.9,39.3,29,1010
15-Aug-2001,6,12.6,41.6,29,1010
15-Aug-2001,12,12.3,43.9,35,1010
15-Aug-2001,18,12.3,46.3,35,1010
16-Aug-2001,0,12.4,48.8,35,1010
16-Aug-2001,6,12.4,51.3,35,1011
16-Aug-2001,12,12.7,53.9,35,1012
16-Aug-2001,18,12.7,57.2,35,1012
17-Aug-2001,0,13.1,60.6,40,1011
17-Aug-2001,6,13.3,62.8,40,1011
17-Aug-2001,12,13.7,64.6,40,1010
17-Aug-2001,18,14.2,66.4,40,1006
18-Aug-2001,0,14.4,68.2,52,1004
18-Aug-2001,6,14.6,70.4,63,1003
18-Aug-2001,12,14.8,72.9,58,1006
18-Aug-2001,18,15.3,75.2,58,1003
19-Aug-2001,0,15.3,77.2,63,1002
19-Aug-2001,6,15.4,78.4,69,997
19-Aug-2001,12,15.7,79.6,69,1004
19-Aug-2001,18,16.2,81.1,63,1005
20-Aug-2001,0,16.7,82.6,58,1007
20-Aug-2001,6,17.1,84.1,58,1008
20-Aug-2001,12,17.5,85.6,58,1007
20-Aug-2001,18,17.9,86.7,63,1006
21-Aug-2001,0,18.1,87.7,69,1000
21-Aug-2001,6,18.2,88.1,63,1000
21-Aug-2001,12,18.4,88.7,52,1002
21-Aug-2001,18,18.6,89.5,40,1006
22-Aug-2001,0,18.7,90.3,29,1007
22-Aug-2001,6,18.4,91.2,29,1008
22-Aug-2001,12,17.9,92.2,29,1009
22-Aug-2001,12,17.9,64.3,52,1010
22-Aug-2001,18,19.1,65.9,58,1009
23-Aug-2001,0,19.8,67.4,58,1010
23-Aug-2001,6,20.7,68.9,58,1010
23-Aug-2001,12,21.6,69.8,35,1012
23-Aug-2001,18,23.0,70.2,29,1012
24-Aug-2001,0,24.6,70.8,29,1013
24-Aug-2001,6,26.6,70.7,29,1013
24-Aug-2001,12,28.6,70.7,29,1012
24-Aug-2001,18,30.3,70.2,29,1012
25-Aug-2001,0,31.5,69.4,29,1011
25-Aug-2001,6,32.7,67.9,29,1011
25-Aug-2001,12,34.0,66.5,29,1010
25-Aug-2001,18,35.0,66.0,29,1008
26-Aug-2001,0,35.0,66.0,29,1008
26-Aug-2001,6,35.0,66.0,29,1008
26-Aug-2001,12,35.2,65.5,29,1008
26-Aug-2001,18,35.5,65.0,35,1004
27-Aug-2001,0,36.3,63.3,46,1001
27-Aug-2001,6,37.7,62.0,58,1000
27-Aug-2001,12,38.9,60.7,63,996
27-Aug-2001,18,40.6,59.4,69,994
28-Aug-2001,0,42.1,57.5,69,995
28-Aug-2001,6,43.5,56.0,63,996
28-Aug-2001,12,44.0,53.4,58,997
28-Aug-2001,18,45.5,50.5,52,998
29-Aug-2001,0,47.0,48.5,52,999
29-Aug-2001,6,49.0,45.0,52,999
29-Aug-2001,12,51.0,40.9,46,1000
01-Sep-2001,18,12.5,34.3,35,1006
