2009 Fuel Efficiency Data
Source: http://www.fueleconomy.gov
Notes: Data columns reduced from original data file.

Class,Make,Model,NumCyl,CityMPG,HighwayMPG,CombinedMPG,MPGClass
TWO SEATERS,ASTON MARTIN,DBS COUPE,12,14.4,24.7,17.7264,Low
TWO SEATERS,ASTON MARTIN,V8 VANTAGE,8,15.9375,26.855,19.5059,Low
TWO SEATERS,AUDI,TT ROADSTER,4,28.5,42.2,33.3759,High
TWO SEATERS,AUDI,TT ROADSTER QUATTRO,4,27.1619,39.0337,31.4689,High
TWO SEATERS,AUDI,TT ROADSTER QUATTRO,6,22.3987,33.5729,26.3444,Medium
TWO SEATERS,CADILLAC,XLR,8,17,32.3,21.6054,Medium
TWO SEATERS,CADILLAC,XLR,8,18.5,34.1,23.2958,Medium
TWO SEATERS,CHEVROLET,CORVETTE,8,18.2499,34.3493,23.1279,Medium
TWO SEATERS,FERRARI,F430,8,13.7498,22.4,16.6417,Low
TWO SEATERS,FERRARI,FERRARI 599 GTB FIORANO,12,12.9992,20.9995,15.6889,Low
TWO SEATERS,LAMBORGHINI,GALLARDO COUPE,10,16.1,25.4,19.276,Low
TWO SEATERS,LAMBORGHINI,GALLARDO SPYDER,10,16,25.4,19.197,Low
TWO SEATERS,LAMBORGHINI,MURCIELAGO,12,10.9,19.9,13.6852,Low
TWO SEATERS,LAMBORGHINI,MURCIELAGO ROADSTER,12,10.9,19.9,13.6852,Low
TWO SEATERS,MERCEDES-BENZ,SL550,8,16.5,29.3,20.5374,Medium
TWO SEATERS,MERCEDES-BENZ,SL600,12,14.1,24.2,17.3605,Low
TWO SEATERS,MERCEDES-BENZ,SL63 AMG,8,14.6,26,18.1888,Low
TWO SEATERS,MERCEDES-BENZ,SL65 AMG,12,14.1,24.6,17.4521,Low
TWO SEATERS,MERCEDES-BENZ,SLK300,6,23.3,36.2,27.75,Medium
TWO SEATERS,MERCEDES-BENZ,SLK350,6,22.2,36.3,26.9024,Medium
TWO SEATERS,MERCEDES-BENZ,SLK55 AMG,8,17.7,30.8,21.8896,Medium
TWO SEATERS,MERCEDES-BENZ,SLR,8,14.2105,21.7982,16.8499,Low
TWO SEATERS,PONTIAC,SOLSTICE,4,23.3,37.0545,27.9725,Medium
TWO SEATERS,PONTIAC,SOLSTICE,4,23.7209,32.8754,27.1191,Medium
TWO SEATERS,SATURN,SKY,4,23.3,37.0545,27.9725,Medium
TWO SEATERS,SATURN,SKY,4,23.7209,32.8754,27.1191,Medium
MINICOMPACT CARS,ASTON MARTIN,DB9,12,15.1,26.7,18.7696,Low
MINICOMPACT CARS,JAGUAR,JAGUAR XK,8,19.9,34.5,24.5811,Medium
MINICOMPACT CARS,JAGUAR,JAGUAR XK CONVERTIBLE,8,19.9,34.5,24.5811,Medium
MINICOMPACT CARS,JAGUAR,JAGUAR XKR,8,19.1,31.5,23.2118,Medium
MINICOMPACT CARS,JAGUAR,JAGUAR XKR CONVERTIBLE,8,19.1,31.5,23.2118,Medium
MINICOMPACT CARS,LEXUS,SC 430,8,20.2995,31.6,24.1927,Medium
MINICOMPACT CARS,MINI,MINI COOPER,4,32.82,48.522,38.4139,High
MINICOMPACT CARS,MINI,MINI COOPER S,4,29.7707,44.4889,34.978,High
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,4,24.2157,36.2707,28.4744,Medium
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,6,20.1499,33.2499,24.4922,Medium
MINICOMPACT CARS,PORSCHE,911 TURBO,6,18.8066,31.5222,22.9775,Medium
MINICOMPACT CARS,PORSCHE,911 TURBO CABRIOLET,6,18.8066,31.5222,22.9775,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 2 CABRIOLET,6,23.3717,37.6861,28.1901,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 2 COUPE,6,23.3717,37.6861,28.1901,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 2 S CABRIOLET,6,23.4598,36.9387,28.0688,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 2 S COUPE,6,23.4598,36.9387,28.0688,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 4 CABRIOLET,6,22.8,36.4,27.4082,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 4 COUPE,6,23,36.8,27.6692,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 4 S CABRIOLET,6,23.2,37.1,27.9047,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 4 S COUPE,6,23,36,27.4627,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 4 S TARGA,6,23.2,37.1,27.9047,Medium
MINICOMPACT CARS,PORSCHE,CARRERA 4 TARGA,6,22.8,36.4,27.4082,Medium
MINICOMPACT CARS,VOLKSWAGEN,NEW BEETLE CONVERTIBLE,5,24.8494,39.7251,29.8854,Medium
SUBCOMPACT CARS,AUDI,A4 CABRIOLET,4,28.7642,42.4439,33.6437,High
SUBCOMPACT CARS,AUDI,A4 CABRIOLET QUATTRO,4,25.9973,37.8274,30.2551,High
SUBCOMPACT CARS,AUDI,A4 CABRIOLET QUATTRO,6,21.3,34.6,25.755,Medium
SUBCOMPACT CARS,AUDI,A5 QUATTRO,6,22.0916,36.1369,26.7744,Medium
SUBCOMPACT CARS,AUDI,S4 CABRIOLET,8,16.817,28.8042,20.6921,Medium
SUBCOMPACT CARS,AUDI,S5,8,20.4,31,24.1098,Medium
SUBCOMPACT CARS,AUDI,TT COUPE,4,29.1,43.6,34.2214,High
SUBCOMPACT CARS,AUDI,TT COUPE QUATTRO,4,27.1619,39.0337,31.4689,High
SUBCOMPACT CARS,AUDI,TT COUPE QUATTRO,6,22.3987,33.5729,26.3444,Medium
SUBCOMPACT CARS,BENTLEY,CONTINENTAL GTC,12,12.5188,23.259,15.8025,Low
SUBCOMPACT CARS,BMW,128I,6,23.0549,39.5165,28.3738,Medium
SUBCOMPACT CARS,BMW,128I CONVERTIBLE,6,22.5809,38.0812,27.6444,Medium
SUBCOMPACT CARS,BMW,135I,6,22,35.5,26.5421,Medium
SUBCOMPACT CARS,BMW,135I CONVERTIBLE,6,21.7374,36.3061,26.5275,Medium
SUBCOMPACT CARS,BMW,328CI,6,23.0549,39.5165,28.3738,Medium
SUBCOMPACT CARS,BMW,328CI CONVERTIBLE,6,22.5809,38.0812,27.6444,Medium
SUBCOMPACT CARS,BMW,328CI XDRIVE,6,21.7665,35.2524,26.2928,Medium
SUBCOMPACT CARS,BMW,335CI,6,21.7374,36.3061,26.5275,Medium
SUBCOMPACT CARS,BMW,335CI CONVERTIBLE,6,21.7374,36.3061,26.5275,Medium
SUBCOMPACT CARS,BMW,335CI XDRIVE,6,21.0675,34.6141,25.5708,Medium
SUBCOMPACT CARS,BMW,650CI,8,19.0748,31.474,23.185,Medium
SUBCOMPACT CARS,BMW,650CI CONVERTIBLE,8,18.7,31.8,22.9554,Medium
SUBCOMPACT CARS,BMW,M3 CONVERTIBLE,8,16.671,27.3704,20.2296,Medium
SUBCOMPACT CARS,BMW,M3 COUPE,8,17.1163,27.8771,20.7145,Medium
SUBCOMPACT CARS,BMW,M6,10,13.1051,23.7127,16.4081,Low
SUBCOMPACT CARS,BMW,M6 CONVERTIBLE,10,12.9504,24.0505,16.3451,Low
SUBCOMPACT CARS,CHEVROLET,AVEO 5,4,31.8,47.9,37.467,High
SUBCOMPACT CARS,CHEVROLET,COBALT,4,30.1,46.8,35.858,High
SUBCOMPACT CARS,FORD,MUSTANG,6,20.4019,33.1455,24.6702,Medium
SUBCOMPACT CARS,FORD,MUSTANG,8,18.8917,29.8677,22.6348,Medium
SUBCOMPACT CARS,HONDA,CIVIC,4,31,50.5,37.5195,High
SUBCOMPACT CARS,HONDA,CIVIC,4,32.8723,51.0436,39.1429,High
SUBCOMPACT CARS,LEXUS,IS 250,6,26.6,40.7,31.5127,High
SUBCOMPACT CARS,LEXUS,IS 250 AWD,6,24.5898,36.2901,28.7628,Medium
SUBCOMPACT CARS,LEXUS,IS 350,6,22.4334,34.3402,26.5808,Medium
SUBCOMPACT CARS,LEXUS,IS F,8,19.6214,32.0888,23.7788,Medium
SUBCOMPACT CARS,MASERATI,MASERATI GRANTURISMO,8,15.6486,26.9455,19.2874,Low
SUBCOMPACT CARS,MAZDA,MAZDA RX-8,2,20.2,32.1,24.2445,Medium
SUBCOMPACT CARS,MERCEDES-BENZ,CLK350,6,21.3,35.5,25.9756,Medium
SUBCOMPACT CARS,MERCEDES-BENZ,CLK350 (CABRIOLET),6,21.2,35.4,25.8697,Medium
SUBCOMPACT CARS,MERCEDES-BENZ,CLK550,8,18.2,30.3,22.1871,Medium
SUBCOMPACT CARS,MERCEDES-BENZ,CLK550 (CABRIOLET),8,18,29.5,21.8294,Medium
SUBCOMPACT CARS,MINI,MINI CLUBMAN,4,32.82,48.522,38.4139,High
