bioID,useFirst,lastName,pos,height,weight,college,hsState,race,GP,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
abdelal01,Alaa,Abdelnaby,F-C,82,240,Duke,NJ,B,256,12.5,5.7227,1.1055,2.1992,0.332,0.2773,0.2734,0.9648,1.8906,4.8281,2.4219,1.2539,0.8789,0.0117,0
abdulma02,Mahmoud,Abdul-Rauf,G,73,162,Louisiana State,MS,B,586,26.6689,14.5956,0.3737,1.4812,3.5478,0.8311,0.0785,1.6433,1.8874,13.5546,5.9966,1.9812,1.7935,2.285,0.8089
abdulta01,Tariq,Abdul-Wahad,G-F,78,223,San Jose State,,B,236,20.3686,7.7542,1.2119,2.0763,1.1271,0.7797,0.3517,1.3093,2.0551,7.3136,3.0508,2.2415,1.5763,0.322,0.0763
abdursh01,Shareef,Abdur-Rahim,F,81,225,California,GA,B,830,34.7928,18.106,2.2518,5.2651,2.541,0.988,0.7687,2.5711,2.8,13.8735,6.547,5.9554,4.8265,0.6253,0.1855
acresma01,Mark,Acres,F-C,83,220,Oral Roberts,CA,W,154,16.2857,3.6169,1.7078,2.6948,0.3377,0.3442,0.2987,0.5714,2.5455,2.6883,1.3831,1.1948,0.8312,0.0519,0.0195
adamsmi01,Michael,Adams,G,70,162,Boston College,CT,B,334,32.1826,16.006,0.6467,2.4671,7.3503,1.5928,0.0898,2.5299,2.024,13.2156,5.3862,4.494,3.8623,4.4162,1.3713
addisra01,Rafael,Addison,F-G,79,215,Syracuse,NJ,B,317,15.7287,5.7634,0.6972,1.429,0.9274,0.3817,0.2397,0.7066,1.8801,5.4132,2.4416,0.9306,0.7129,0.6151,0.1672
afflaar01,Arron,Afflalo,G,77,215,UCLA,CA,B,362,24.4503,8.7652,0.5801,2.1022,1.5221,0.4834,0.2624,0.8481,2.0414,6.7735,3.1575,1.8398,1.4724,2.4116,0.9779
aguirma01,Mark,Aguirre,F-G,78,232,DePaul,IL,B,243,22.6461,11.8148,1.1193,2.4938,1.9465,0.5597,0.1893,1.5267,2.3786,10.1481,4.5638,3.0782,2.251,1.3374,0.4362
aingeda01,Danny,Ainge,G-F,76,175,Brigham Young,OR,W,383,21.9243,9.9164,0.4883,1.6188,2.9687,0.8042,0.1253,1.1567,2.1227,8.0392,3.6319,1.6658,1.3786,3.423,1.2742
aldrila01,LaMarcus,Aldridge,F,83,240,Texas,TX,B,434,34.97,17.8295,2.8018,4.7281,1.7673,0.8157,0.9931,1.5161,2.8502,14.7696,7.3088,4.076,3.1682,0.2005,0.0438
alexaco01,Cory,Alexander,G,73,185,Virginia,VA,B,307,15.7883,5.4625,0.2541,1.3127,2.7166,0.8567,0.1205,1.5212,1.6743,4.9121,1.9121,1.1466,0.8664,2.1792,0.772
alexaco02,Courtney,Alexander,G,77,205,Fresno State,NC,B,187,21.7487,9.0374,0.6631,1.5241,1.2139,0.5936,0.0963,1.0856,2.016,8.2995,3.5027,2.2299,1.8128,0.6471,0.2193
alexavi01,Victor,Alexander,C-F,81,265,Iowa State,MI,B,286,20.1224,8.8881,1.5594,3.2797,0.8986,0.472,0.6189,1.3217,2.493,7.4336,3.8497,1.7762,1.1259,0.2203,0.0629
allenje01,Jerome,Allen,G,76,184,Pennsylvania,PA,B,117,11.1538,2.8718,0.2564,0.7949,1.7179,0.4444,0.0769,0.8803,1.0769,2.7863,0.9744,0.9231,0.5812,1.0769,0.3419
allenma01,Malik,Allen,F,82,255,Villanova,NJ,B,478,15.1946,4.8828,0.9749,1.8556,0.477,0.272,0.4603,0.6695,1.8766,4.9456,2.1736,0.6799,0.5293,0.0356,0.0063
allenra02,Ray,Allen,G,77,205,Connecticut,SC,B,1148,36.9033,19.9834,1.0166,3.2082,3.5566,1.1585,0.1925,2.1969,2.277,15.4721,6.9991,4.047,3.6176,5.9129,2.3676
allento01,Tony,Allen,G,76,213,Oklahoma State,IL,B,466,19.779,7.7983,0.9185,1.8691,1.3348,1.2532,0.4163,1.397,2.2468,5.9764,2.8798,2.5451,1.8948,0.5064,0.1438
