Coupon,YTM,CurrentYield,RatingNum
5.65,4.024,4.5634,9
6.2,3.803,5.0559,11
1.64,1.554,1.6116,11
10.27,10.193,25.3518,5
5.83,4.479,5.1488,8
6.42,3.675,4.7328,9
6.78,5.773,6.4308,7
6.54,4.242,5.7652,8
3.36,2.802,3.2064,10
7.2,6.875,7.1635,7
4.71,3.986,5.1753,9
1.51,1.354,1.4594,9
6.08,3.931,5.3315,10
5.52,3.848,5.1584,9
8.33,4.787,7.4515,8
5.05,3.677,4.6178,8
5.7,4.061,5.1931,9
5.84,3.926,5.2817,9
5.69,3.886,4.5906,11
5.53,4.076,5.3425,9
7.23,9.56,16.0133,5
6.37,4.948,6.2592,7
8.85,5.097,6.0159,10
2.96,2.427,2.7627,9
6.11,3.808,5.0164,8
4.72,4.63,5.0552,9
3.37,3.047,3.2473,11
4,2.937,3.4837,10
9.46,5.049,8.1432,7
6.2,5.329,6.8252,9
9.04,8.981,9.3138,6
5.83,3.893,5.3927,9
8.92,5.206,7.4551,9
4.46,2.48,4.0593,11
4.01,3.667,4.1858,9
5.14,3.379,4.1239,11
6.41,3.674,4.6683,9
7.55,4.087,5.1954,8
10.69,8.851,13.1327,6
4.59,3.608,3.9077,11
0.88,0.841,0.8623,11
4.66,3.451,4.0884,8
3.59,2.927,3.4642,8
3.11,2.545,2.835,10
7.22,4.793,7.4564,6
6.37,4.697,7.0363,9
5.27,3.797,5.0537,10
4.44,3.803,4.1039,8
7.08,4.318,6.1856,9
5.93,5.443,5.7719,8
7.7,6.164,8.1027,8
1.32,1.273,1.2858,11
2.2,1.973,2.1099,8
12.4,9.825,12.0423,6
6.37,4.253,5.6392,10
6.06,3.503,4.4542,11
2,1.743,1.8847,11
5.44,3.597,4.4386,9
6.96,4.378,6.3307,8
6.8,4.445,6.2771,9
4.97,3.213,3.9608,11
6,3.708,4.7805,8
5.14,3.68,4.1505,11
5.71,4.282,5.5089,9
3.94,3.124,3.6833,9
5.46,3.554,4.5565,10
4.28,3.633,4.0573,11
8.26,4.877,7.6545,7
5.3,3.359,4.1207,11
7.87,4.72,5.9852,8
5.6,4.424,4.988,8
6.46,4.375,6.0346,9
5.95,4.687,6.942,8
6.3,4.276,5.9954,7
6.06,4.16,5.6966,10
1.95,1.83,1.9313,9
5.58,3.817,4.4852,8
1.02,0.974,1.0061,11
7.41,6.681,8.1295,5
7.81,4.937,7.8603,7
6.61,5.28,5.7916,9
6.46,5.942,6.5798,7
7.71,6.035,7.6762,5
0.96,0.922,0.9342,11
2.99,2.458,2.7547,11
5.32,3.639,4.85,10
7.22,4.048,5.5564,9
3.1,2.809,2.8545,10
7.92,4.361,5.9175,8
6.87,5.017,5.8578,9
7.12,4.142,5.4715,9
4.73,3.29,4.0839,9
6.83,4.073,5.0581,9
3.99,3.31,4.0254,9
6.4,4.862,5.8203,8
7.72,5.914,10.6292,5
7.73,6.792,7.5246,9
5.81,4.919,5.6905,8
8.83,5.524,7.9614,6
8.09,2.785,7.4329,7
5.82,4.264,4.848,9
8.45,4.42,5.4222,11
6.83,4.672,7.1317,6
5.25,3.939,4.9584,9
2.04,1.86,1.9928,9
6.08,4.621,5.5187,8
2.74,2.409,2.653,9
3.24,2.648,3.0708,9
9.59,5.661,8.551,7
5.34,4.283,5.9254,9
5.38,4.468,5.1726,8
5.56,3.705,4.6547,9
7.36,4.425,5.2839,9
9,5.202,6.9109,8
5.57,3.881,5.2261,8
3.59,3.119,3.5011,8
1.34,0.728,1.2887,11
5.46,4.17,4.8542,9
5.87,3.85,5.1618,8
5.68,4.455,4.6969,10
10.41,6.304,9.1188,7
7.39,4.744,6.5947,8
5.58,3.524,3.9318,11
6.16,4.198,5.8717,10
6.66,4.827,7.0911,6
1.09,1.055,1.0626,11
6.77,5.1,7.0572,9
4.7,1.7,4.2821,11
3.96,3.079,3.6277,5
6.33,4.705,5.6322,8
10.43,5.823,9.5987,6
1.53,1.494,1.5031,11
4.53,1.511,4.172,11
1.23,1.156,1.2033,11
5.97,4.772,7.0526,8
5.11,4.076,5.6179,9
3.88,3.637,3.88,9
7.34,5.432,5.586,9
4.94,3.988,4.8612,9
10.32,6.187,9.5326,6
4.43,3.205,3.8792,11
6.09,4.229,5.9006,8
1.91,1.726,1.8357,9
5.78,2.656,5.3563,10
6.34,4.708,7.2152,8
9.23,5.662,9.0384,6
5.09,4.166,5.4944,9
6.33,5.583,6.7838,9
4.5,3.913,4.3178,9
1.59,1.533,1.569,11
2.38,2.114,2.2523,10
5.37,3.498,4.4716,11
6.53,7.109,7.9936,8
3.24,2.783,3.2707,9
7.97,7.93,11.0266,6
7.96,6.041,7.1461,7
4.66,4.192,5.4395,5
7.83,5.005,6.6244,8
2.29,2.075,2.2504,11
6.97,6.398,8.1673,7
8.46,5.005,9.1193,5
5.92,3.903,5.2754,10
1.82,1.732,1.8006,7
6.56,4.516,6.2578,7
6.22,3.969,5.4096,9
6.13,4.747,5.0361,8
6.86,5.489,7.8364,8
5.78,4.26,5.5195,7
8.5,6.299,7.3894,7
3.31,2.823,3.0943,10
7.92,5.063,7.2157,8
5.55,3.803,4.9933,9
5.96,4.134,5.687,9
6.71,4.527,6.7867,7
2.42,2.248,2.3559,11
7.05,6.266,7.4132,6
5.21,3.869,4.9239,8
6.86,5.025,5.5795,8
4.85,3.659,4.4491,8
1.91,1.285,1.8443,10
4.06,2.897,3.4506,11
7.84,5.034,7.27,7
5.42,3.928,4.6183,10
6.76,3.472,4.4186,11
3.61,3.161,3.446,11
6.15,3.843,5.1464,9
4.99,3.398,4.2888,9
4.15,2.979,3.5804,9
4.57,3.221,4.0232,9
6.95,5.104,6.437,7
7.02,4.497,5.0576,9
6.03,4.78,5.7097,10
5.05,3.855,4.477,10
4.91,3.294,4.1067,9
6.34,5.934,7.2823,6
3.48,3.086,3.4054,8
4.96,3.848,4.2023,11
4.96,3.575,4.3018,10
7.8,5.758,7.4264,7
5.5,5.167,5.9796,9
6.84,4.106,5.6618,9
5.96,5.074,6.3948,6
3.41,3.065,3.4309,9
2.03,1.938,1.997,11
7.06,2.757,6.4818,8
3.1,2.877,2.9056,10
4.46,3.216,3.7832,10
5.7,3.751,5.4808,6
7.12,4.254,6.0493,8
4.39,3.557,3.873,11
8.15,4.568,6.8493,7
6.31,5.164,6.7857,6
4.61,3.607,4.5161,10
7.41,6.723,8.9786,6
6.5,4.22,5.0873,9
2.36,2.131,2.3341,9
7.34,4.923,7.6794,6
1.29,1.239,1.2709,11
5.91,4.859,5.2981,8
5.52,4.403,6.219,8
3.66,3.181,3.6725,9
6.55,5.638,7.0514,9
7.1,4.684,7.1171,6
3.68,3.031,3.4632,8
4.45,3.556,4.3066,9
3.67,3.421,3.4959,11
5.42,3.57,4.5276,9
5.23,4.931,5.0861,10
8.27,4.885,6.1268,9
5.1,3.814,4.8799,10
6.51,4.912,4.9329,9
2.11,1.994,2.0418,10
5.64,3.91,5.0542,10
4.11,3.288,3.6808,10
7.34,5.126,8.0157,6
7.39,4.413,6.3889,8
7.23,4.508,6.3773,7
6.5,7.4,14.2889,4
4.12,3.441,4.0384,8
6.64,6.373,7.424,6
2.82,2.439,2.7571,11
1.12,0.984,1.0854,11
5.55,3.949,5.1575,8
3.52,2.963,3.5204,9
6.81,4.383,6.034,8
3.1,2.734,2.8529,9
