size,score,center,comparison,grit,bin
-0.7429,-2.3981,-0.4037,1.7989,ultra,B
0.5697,0.3728,2.9002,-1.5993,super,C
-1.59,-3.1321,-3.2852,0.3593,extra,B
0.7101,0.9942,3.1275,-1.6632,extra,A
-2.2128,-2.4286,-1.0112,0.2764,ultra,B
2.2193,3.0919,1.7275,-4.5343,super,A
0.8244,2.3452,2.3502,0.977,very,A
-0.8994,-1.0942,-2.4622,1.44,super,B
-3.4863,0.479,0.5519,2.7298,extra,B
3.0342,1.9417,3.3514,3.8385,extra,A
1.4424,2.2146,2.3075,-1.4931,very,A
3.1068,1.8746,1.7009,-0.4206,extra,A
1.5252,1.8602,2.862,-4.3732,super,A
-1.6509,-0.5587,-1.8449,1.8155,super,B
0.2503,-0.9148,-0.8424,0.6925,extra,B
-0.5747,2.6795,2.4517,-0.9606,super,A
6.0606,3.662,1.6462,-1.6881,very,A
2.5802,4.0563,2.455,0.1078,super,A
-1.0549,0.5763,-1.8205,1.7596,extra,B
-0.5736,-0.1743,0.6557,-1.022,super,B
3.3055,1.4312,1.0208,-0.1734,very,A
-0.5402,2.5835,1.1513,-1.0917,super,A
1.6914,2.4926,0.8436,-3.9772,very,A
1.0495,-0.7503,0.5818,-2.5499,super,C
0.0826,0.1385,-3.4429,1.3005,extra,B
-0.4054,-0.6725,-4.095,0.3961,super,B
4.9166,1.5647,1.1764,-1.9585,very,A
0.0061,-3.4969,-2.6321,0.6269,super,B
-0.7076,2.1399,1.7143,-0.5725,very,A
-0.6498,-0.3353,-1.7801,1.1769,extra,B
-0.0702,-0.119,-2.4138,0.8682,ultra,B
1.1094,2.9578,2.3335,-2.6059,very,A
0.2269,-1.5924,3.124,-1.389,extra,C
0.8809,0.2725,3.2226,-1.7183,super,C
-1.9485,-2.057,-1.1601,1.8671,super,B
-0.7602,-0.6768,-2.7648,1.5954,ultra,B
-0.1423,-2.4694,-4.0379,1.1837,extra,B
-0.9988,-1.4677,0.5654,1.6011,extra,B
-1.2365,-1.4711,-0.8865,1.6125,extra,B
-1.6904,-1.7841,-2.4365,2.0468,super,B
0.9575,2.3465,1.1345,-1.8259,very,A
1.4514,1.615,3.6555,-2.406,extra,A
-1.0708,-1.1249,-1.5587,1.0923,extra,B
-2.6118,-1.6045,-2.2556,0.7617,ultra,B
2.5461,1.8627,0.668,-4.955,very,A
-0.6222,2.5107,1.2018,-3.2516,extra,A
3.1675,3.0159,2.1837,-2.4452,very,A
-1.0245,-0.8966,-1.9352,1.2296,ultra,B
-1.6912,-0.8078,-1.4317,1.2908,extra,B
1.0237,-0.863,-3.2387,0.9451,ultra,B
-2.6642,-1.1768,-3.4506,1.975,extra,B
0.1355,-1.5854,1.9755,-2.9777,ultra,C
