FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,QCLabel
0.2478,0.3973,0,0.0685,0.1068,0.1408,0.0989,0.5675,0.6063,0.1377,0.1538,D
0.2832,0.5205,0,0.1164,0.1436,0.338,0.2155,0.4941,0.3622,0.2096,0.2154,D
0.2832,0.4384,0.04,0.0959,0.1336,0.1972,0.1696,0.5088,0.4094,0.1916,0.2154,D
0.5841,0.1096,0.56,0.0685,0.1052,0.2254,0.1908,0.5822,0.3307,0.1497,0.2154,C
0.2478,0.3973,0,0.0685,0.1068,0.1408,0.0989,0.5675,0.6063,0.1377,0.1538,D
0.2478,0.3699,0,0.0616,0.1052,0.169,0.1201,0.5675,0.6063,0.1377,0.1538,D
0.292,0.3288,0.06,0.0479,0.0952,0.1972,0.1873,0.4648,0.4409,0.0778,0.1538,D
0.2389,0.363,0,0.0205,0.0885,0.1972,0.053,0.3326,0.5118,0.0838,0.2462,B
0.2832,0.3151,0.02,0.0753,0.1018,0.1127,0.0424,0.4941,0.4882,0.1437,0.1692,B
0.2566,0.2603,0.36,0.3562,0.0985,0.2254,0.3392,0.5675,0.4803,0.2814,0.3231,D
0.1858,0.3151,0.08,0.0616,0.1419,0.1972,0.2085,0.428,0.4252,0.1257,0.1231,D
0.2566,0.2603,0.36,0.3562,0.0985,0.2254,0.3392,0.5675,0.4803,0.2814,0.3231,D
0.0885,0.339,0,0.0479,0.1285,0.2113,0.1873,0.3106,0.6614,0.1138,0.2308,D
0.2832,0.3356,0.29,0.0479,0.1703,0.1127,0.0813,0.5382,0.4094,0.7365,0.1077,D
0.3805,0.3425,0.18,0.1986,0.2738,0.7183,0.4912,0.6263,0.3307,0.3293,0.1231,D
0.3805,0.3425,0.19,0.2055,0.2638,0.7042,0.5018,0.6263,0.3386,0.3593,0.1231,D
0.3451,0.1096,0.56,0.0616,0.1336,0.4789,0.3428,0.5015,0.4409,0.2515,0.3231,B
0.3097,0.3014,0.28,0.0548,0.5943,0.2113,0.1767,0.4941,0.2913,0.5689,0.1385,D
0.2478,0.3219,0.08,0.2397,0.1235,0.0704,0.0813,0.5382,0.5039,0.1018,0.0923,E
0.292,0.137,0.51,0.0616,0.5492,0.2254,0.1767,0.5015,0.2362,0.4491,0.1231,C
0.3805,0.0685,0.48,0.0616,0.1085,0.3944,0.1908,0.4941,0.5118,0.1198,0.1538,C
0.2655,0.1849,0.31,0.0959,0.1169,0.3099,0.2297,0.5969,0.6142,0.1916,0.2,D
0.292,0.2123,0.21,0.0479,0.1569,0.1268,0.1095,0.4794,0.3386,0.3473,0.1692,D
0.3451,0.2534,0.11,0.0959,0.1202,0.1127,0.2155,0.4941,0.3386,0.1198,0.1538,D
0.2035,0.1918,0.14,0.1027,0.1219,0.2817,0.1201,0.4941,0.5433,0.1796,0.2,C
0.1504,0.1849,0.16,0.0342,0.1135,0.1408,0.0601,0.3987,0.4724,0.1377,0.1385,D
0.2655,0.1986,0.24,0.0616,0.1135,0.0423,0.0177,0.4501,0.4252,0.1557,0.1692,D
0.292,0.2123,0.21,0.0479,0.1569,0.1268,0.1095,0.4794,0.3386,0.3473,0.1692,D
0.2212,0.4041,0,0.0685,0.1135,0.1831,0.1025,0.5235,0.5748,0.1317,0.1538,D
0.2832,0.3596,0,0.0753,0.1169,0.0986,0.0353,0.4648,0.5039,0.1557,0.2154,C
0.1858,0.3801,0.07,0.1027,0.1285,0.2254,0.2686,0.4207,0.4803,0.1257,0.2615,D
0.2035,0.387,0,0.1096,0.1553,0.2958,0.1095,0.4794,0.5669,0.1437,0.3385,C
0.3274,0.3664,0.12,0.0959,0.1185,0.1972,0.3781,0.4794,0.3386,0.1976,0.2154,D
0.2035,0.3322,0.12,0.6712,0.1018,0.5493,0.2721,0.6777,0.5591,0.1138,0.1538,C
0.0531,0.137,0.25,0.0616,0.1519,0.169,0.1555,0.4134,0.5039,0.1317,0.1231,D
0.2832,0.3596,0,0.3151,0.1235,0.0563,0.0424,0.6263,0.5197,0.1317,0.1846,C
0.2832,0.3288,0.14,0.1027,0.1235,0.0282,0.0318,0.5455,0.5354,0.1617,0.3692,C
0.0973,0.6918,0.09,0.0411,0.2671,0.0845,0.0459,0.2885,0.5984,0.0898,0.2154,E
0.2389,0.226,0.36,0.3425,0.1035,0.1549,0.2862,0.5675,0.4646,0.2994,0.3231,D
0.2389,0.226,0.36,0.3425,0.1035,0.1549,0.2862,0.5675,0.4646,0.2994,0.3231,D
0.3717,0.3356,0.3,0.1301,0.1269,0.2254,0.1413,0.5529,0.4094,0.1078,0.1385,E
0.2566,0.2534,0.2,0.1164,0.5342,0.0986,0.0283,0.4941,0.3701,0.3413,0.3231,C
0.3097,0.3699,0.22,0.089,0.0952,0.1127,0.0601,0.4941,0.4409,0.521,0.2923,D
0.1947,0.3767,0.02,0.0616,0.0634,0.0563,0.0177,0.4501,0.5827,0.1138,0.1692,D
0,0.274,0.15,0.0822,0.0701,0.0986,0.2085,0.2445,0.9134,0.1377,0.7231,E
0.2743,0.5582,0.43,0.089,0.1703,0.2958,0.3816,0.5088,0.4016,0.2395,0.1231,D
0.3628,0.1164,0.52,0.0479,0.1686,0.1549,0.1095,0.5015,0.4016,0.1497,0.1692,D
0.0885,0.1301,0.37,0.0342,0.1035,0.1549,0.318,0.3913,0.4567,0.1497,0.1231,D
0.3717,0.3699,0.26,0.0548,0.1035,0.0423,0.0601,0.5162,0.3228,0.2455,0.1231,D
0.177,0.274,0.04,0.089,0.0952,0.0986,0.0318,0.406,0.5197,0.1796,0.1538,C
0.177,0.2603,0.04,0.0822,0.0935,0.0704,0.0283,0.3987,0.5118,0.1856,0.1538,C
0.354,0.1781,0.36,0.1438,0.1152,0.4085,0.3993,0.5088,0.3622,0.1377,0.1538,D
0.2655,0.2671,0.15,0.1301,0.1636,0.4507,0.2367,0.3987,0.3386,0.1796,0.2769,C
0.2743,0.3425,0.04,0.1986,0.1202,0.338,0.1378,0.5675,0.4724,0.1198,0.1692,D
0.4956,0.2055,0.57,0.1712,0.0968,0.0423,0.0141,0.5162,0.2362,0.1796,0.1846,D
0.2832,0.3219,0.18,0.0959,0.1068,0.2254,0.1696,0.5455,0.5433,0.1557,0.2462,D
0.2389,0.1849,0.31,0.1027,0.1035,0.1127,0.1413,0.4501,0.5276,0.1257,0.1538,C
0.3717,0.1918,0.4,0.089,0.1119,0.2535,0.1625,0.5822,0.5512,0.1856,0.1231,D
0.2743,0.3904,0.49,0.0616,0.172,0.2676,0.3746,0.4941,0.3701,0.2275,0.1385,D
0.2566,0.274,0.16,0.0685,0.1219,0.1549,0.1025,0.4941,0.5039,0.1737,0.1692,B
0.2301,0.4144,0.05,0.2568,0.1235,0.0423,0.0177,0.4501,0.5276,0.0359,0.3846,D
0.2301,0.4144,0.05,0.2568,0.1235,0.0423,0.0177,0.4501,0.5276,0.0359,0.3846,D
0.2566,0.274,0.11,0.0411,0.1119,0.1408,0.1166,0.4941,0.5354,0.1497,0.1846,D
0.177,0.4007,0.07,0.0479,0.1068,0.0704,0.0318,0.4501,0.5512,0.1497,0.3538,D
0.4159,0.137,0.57,0.0753,0.1035,0.3662,0.2085,0.5015,0.4252,0.2754,0.3538,D
