playerID,name,pos,height,weight,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
abdulma02,Mahmoud Abdul-Rauf,G,73,162,586,15628,8553,219,868,1087,2079,487,46,963,1106,7943,3514,1161,1051,1339,474
abdursh01,Julius Abdur-Rahim,F,81,225,830,28878,15028,1869,4370,6239,2109,820,638,2134,2324,11515,5434,4943,4006,519,154
adamsmi01,Michael Adams,G,70,162,334,10749,5346,216,824,1040,2455,532,30,845,676,4414,1799,1501,1290,1475,458
aguirma01,Mark Aguirre,F-G,78,232,243,5503,2871,272,606,878,473,136,46,371,578,2466,1109,748,547,325,106
aingeda01,Daniel Ainge,G-F,76,175,383,8397,3798,187,620,807,1137,308,48,443,813,3079,1391,638,528,1311,488
aldrila01,LaMarcus Aldridge,F,83,240,379,13183,6547,1066,1760,2826,633,303,386,547,1084,5467,2689,1495,1152,76,17
alexaco02,Courtney Alexander,G,77,205,187,4067,1690,124,285,409,227,111,18,203,377,1552,655,417,339,121,41
allenje01,Jerome Allen,G,76,184,117,1305,336,30,93,123,201,52,9,103,126,326,114,108,68,126,40
allenma01,Malik Allen,F,82,255,478,7263,2334,466,887,1353,228,130,220,320,897,2364,1039,325,253,17,3
allenra02,Walter Allen,G,77,205,1102,40800,22286,1153,3555,4708,3974,1281,213,2454,2531,17269,7809,4540,4056,6554,2612
alstora01,Rafer Alston,G,74,171,671,19391,6799,247,1644,1891,3202,813,105,1195,1408,6391,2450,1238,903,2815,996
aminual01,Al-Farouq Aminu,F,81,215,81,1452,457,75,192,267,60,59,25,103,121,406,160,119,92,143,45
anderch01,Chris Andersen,F-C,82,220,450,8119,2450,821,1545,2366,235,199,723,365,902,1705,862,1124,724,23,2
anderda03,David Andersen,C,83,245,103,1264,501,74,218,292,57,20,21,59,159,461,203,89,60,101,35
andergr01,Gregory Anderson,F-C,82,230,456,8364,2340,904,1780,2684,221,292,312,523,1116,1988,953,767,433,15,1
anderke01,Kenneth Anderson,G,72,168,858,25868,10789,670,1971,2641,5196,1258,111,1769,1974,9512,4002,2833,2238,1580,547
anderro01,Ronald Anderson,F-G,79,215,254,6391,2978,277,605,882,360,190,32,282,382,2693,1241,473,399,316,97
anderwi01,Willie Anderson,G-F,79,190,392,10448,3975,283,1010,1293,1369,333,222,704,953,3585,1632,774,623,325,88
anthoca01,Carmelo Anthony,F,80,220,591,21498,14681,1143,2605,3748,1810,659,274,1789,1783,11413,5236,4650,3746,1445,463
anthogr01,Gregory Anthony,G,72,176,757,15850,5497,271,1146,1417,2997,887,79,1043,1324,4750,1914,1445,1059,1748,610
anthojo01,Joel Anthony,C,81,245,244,4335,600,354,451,805,66,59,326,139,546,436,214,260,172,0,0
arenagi01,Gilbert Arenas,G,75,191,535,19140,11330,442,1708,2150,2891,873,133,1732,1648,8787,3696,3574,2872,3038,1066
armstda01,Darrell Armstrong,G,72,169,840,19914,7712,654,1616,2270,3394,1133,98,1556,1399,6507,2663,1679,1463,2763,923
artesro01,Metta World Peace,G-F,78,244,763,26048,11262,945,2744,3689,2324,1475,432,1582,2122,9591,4020,3223,2317,2625,905
askewvi01,Vincent Askew,G-F,77,210,453,9127,3261,394,760,1154,984,294,100,491,960,2460,1193,1059,799,253,76
atkinch01,Kenneth Atkins,G,71,160,696,17305,6863,194,992,1186,2396,465,36,1018,1284,6022,2479,1258,971,2565,934
augmost01,Stacey Augmon,G-F,78,205,1001,21659,7990,1304,1912,3216,1561,974,317,1248,1750,6480,3037,2616,1904,79,12
aventan01,Anthony Avent,F,81,235,352,6729,1958,560,1024,1584,278,166,211,416,824,2019,814,481,330,2,0
baglejo01,John Bagley,G,72,185,86,1852,549,39,130,169,503,59,4,165,136,533,232,103,75,43,10
baileth01,Thurl Bailey,F-C,83,215,358,7706,3257,378,1038,1416,343,137,341,383,579,2784,1280,866,697,9,0
banksma01,Arthur Banks,G,74,200,349,5577,2061,101,421,522,729,266,57,436,677,1718,741,591,454,385,125
barbole01,Leandro Barbosa,G,75,176,524,13108,6643,207,990,1197,1329,497,78,782,1159,5301,2467,1126,928,1995,781
bareajo01,Jose Barea Mora,G,71,175,314,5451,2248,92,456,548,923,117,14,390,442,1977,861,399,323,573,203
barklch01,Charles Barkley,F,77,250,605,21948,13152,2101,4876,6977,2531,887,359,1694,1612,9176,4697,4607,3358,1424,400
barnema02,Matt Barnes,F,79,235,497,10486,3602,593,1580,2173,845,348,172,609,1124,3008,1344,727,528,1176,386
barroea01,Earl Barron,C,84,245,110,1676,565,151,251,402,54,37,22,91,219,593,223,162,118,14,1
barryjo01,Jon Barry,G,76,195,821,13880,4715,318,1195,1513,1784,722,111,808,1016,3672,1595,1023,868,1676,657
bastoma01,Maceo Baston,F,81,215,105,832,286,56,119,175,26,24,43,54,140,172,106,96,71,8,3
battljo01,John Battle,G,74,175,275,5091,2534,67,283,350,550,120,18,284,394,2108,969,682,563,122,33
battlke01,Kenneth Battle,F,78,210,75,1066,385,94,109,203,68,63,20,59,120,312,150,107,82,26,3
bayleje01,Jerryd Bayless,G,75,200,198,3451,1509,52,290,342,516,80,12,277,382,1189,487,551,450,265,85
beaubro01,Rodrigue Beaubois,G,72,170,84,1196,633,19,111,130,138,49,20,101,160,522,249,82,65,193,70
bedfowi01,William Bedford,C,84,225,108,991,411,80,124,204,44,8,55,48,147,390,165,112,75,15,6
bellra01,Raja Bell,G,77,210,672,19018,6781,402,1517,1919,1170,471,128,674,1762,5774,2500,1076,859,2269,922
bendejo01,Jonathan Bender,F,83,198,262,3847,1453,153,429,582,170,43,169,258,391,1221,509,438,334,297,101
bennewi01,Winston Bennett,F,79,210,81,1167,310,93,133,226,66,27,11,53,172,318,120,97,70,1,0
biedran01,Andris Biedrins,F,83,240,410,9866,3141,1107,2176,3283,437,293,492,449,1394,2321,1382,738,377,2,0
birdla01,Larry Bird,F-G,81,220,105,3939,2072,99,844,943,737,150,91,312,200,1775,815,345,313,326,129
blakest01,Steven Blake,G,75,172,578,14398,4077,182,1032,1214,2303,395,37,801,856,3687,1498,480,377,1799,704
blankla01,Lance Blanks,G,76,190,142,1045,289,31,79,110,117,39,8,63,122,266,116,57,38,75,19
bledser01,Eric Bledsoe,G,73,195,81,1841,543,68,155,223,289,92,26,194,130,486,206,133,99,116,32
blounco01,Corie Blount,F,81,240,644,9926,2287,1085,1605,2690,460,328,265,519,1375,2038,959,624,366,26,3
boguemu01,Tyrone Bogues,G,63,136,650,19303,5279,398,1412,1810,4835,965,26,1062,1135,4702,2175,988,832,326,97
bogutan01,Andrew Bogut,C,84,245,396,12978,5043,1125,2584,3709,919,272,618,789,1298,4113,2159,1262,724,21,1
bondwa01,Walter Bond,G,77,200,153,2427,873,80,209,289,177,97,34,146,360,805,329,227,174,137,41
bonnema01,Matthew Bonner,F,82,240,495,9297,3378,520,1236,1756,368,222,149,239,1023,2738,1287,343,268,1296,536
booketr01,Trevor Booker,F,80,240,65,1063,346,98,153,251,35,29,42,38,115,253,139,101,68,1,0
boozeca01,Carlos Boozer,F-C,80,258,569,18572,9826,1500,4242,5742,1411,542,260,1287,1805,7515,4037,2414,1751,9,1
bowdlca01,James Bowdler,F,82,245,142,1382,424,90,182,272,29,42,45,43,155,403,163,125,96,11,2
bowenry01,Ryan Bowen,F,79,213,507,6501,1319,506,554,1060,250,325,138,168,752,1192,544,313,217,68,14
bowiesa01,Samuel Bowie,C-F,85,235,304,7968,3109,636,1397,2033,625,141,446,545,860,2747,1215,864,662,68,17
boykiea01,Earl Boykins,G,65,133,644,12850,5752,275,591,866,2076,389,34,749,654,4944,2064,1418,1242,1095,382
bradlmi01,Michael Bradley,F,81,225,173,2015,483,223,368,591,93,25,47,113,200,457,218,88,45,14,2
bremejr01,Ernest Bremer,G,73,185,100,1945,646,27,154,181,215,56,7,83,112,622,214,131,98,360,120
breweco01,Corey Brewer,G-F,81,185,245,6105,2170,227,569,796,418,309,72,353,609,2013,821,577,404,397,124
brezepr01,Primoz Brezec,C,85,243,342,6191,2452,563,764,1327,179,69,135,274,730,2034,1012,609,427,6,1
brickfr01,Francis Brickowski,F-C,81,240,357,8878,4152,463,1301,1764,744,337,149,752,1182,3205,1657,1033,784,153,54
brockjo01,Jonathan Brockman,F,79,255,115,1331,283,179,218,397,40,29,8,47,234,197,103,121,77,0,0
brooksc01,Scott Brooks,G,71,165,526,6890,2570,124,403,527,1095,364,27,348,607,2091,958,538,453,539,201
