playerID,name,pos,height,weight
abdulka01,Kareem Abdul-Jabbar,C,85,225
abdulma02,Mahmoud Abdul-Rauf,G,73,162
abdulza01,Zaid Abdul-Aziz,C-F,81,230
adamsal01,Alvan Adams,C-F,81,210
adamsmi01,Michael Adams,G,70,162
aguirma01,Mark Aguirre,F-G,78,232
aldrila01,LaMarcus Aldridge,F,83,240
alexaco02,Courtney Alexander,G,77,205
allenje01,Jerome Allen,G,76,184
allenma01,Malik Allen,F,82,255
alstora01,Rafer Alston,G,74,171
aminual01,Al-Farouq Aminu,F,81,215
anderch01,Chris Andersen,F-C,82,220
anderri01,Richard Anderson,F-C,82,240
anderwi01,Willie Anderson,G-F,79,190
anthoca01,Carmelo Anthony,F,80,220
arenagi01,Gilbert Arenas,G,75,191
arizipa01,Paul Arizin,F-G,74,190
armstda01,Darrell Armstrong,G,72,169
arnetja01,Jay Arnette,G,74,175
askewvi01,Vincent Askew,G-F,77,210
augmost01,Stacey Augmon,G-F,78,205
aventan01,Anthony Avent,F,81,235
awtrede01,Dennis Awtrey,C,82,235
baglejo01,John Bagley,G,72,185
baileth01,Thurl Bailey,F-C,83,215
barbole01,Leandro Barbosa,G,75,176
barklch01,Charles Barkley,F,77,250
barnema02,Matt Barnes,F,79,235
barreer01,Ernie Barrett,G-F,75,180
barroea01,Earl Barron,C,84,245
barryjo01,Jon Barry,G,76,195
bastoma01,Maceo Baston,F,81,215
battljo01,John Battle,G,74,175
bayloel01,Elgin Baylor,F,77,225
beasljo01,John Beasley,F-C,81,225
bedfowi01,William Bedford,C,84,225
bellra01,Raja Bell,G,77,210
bendejo01,Jonathan Bender,F,83,198
bennewi01,Winston Bennett,F,79,210
berrywa01,Walter Berry,F,80,215
biedran01,Andris Biedrins,F,83,240
birdla01,Larry Bird,F-G,81,220
blabuw01,Uwe Blab,C,85,250
blankla01,Lance Blanks,G,76,190
bledser01,Eric Bledsoe,G,73,195
blounco01,Corie Blount,F,81,240
bobbne01,Nelson Bobb,G,72,170
bogutan01,Andrew Bogut,C,84,245
bondwa01,Walter Bond,G,77,200
booketr01,Trevor Booker,F,80,240
boozeca01,Carlos Boozer,F-C,80,258
bowenry01,Ryan Bowen,F,79,213
boykiea01,Earl Boykins,G,65,133
boynewi01,Winford Boynes,G-F,78,185
bradlch01,Charles Bradley,G,77,215
bradlmi01,Michael Bradley,F,81,225
brancad01,Adrian Branch,F-G,79,185
braunca01,Carl Braun,G-F,77,180
brezepr01,Primoz Brezec,C,85,243
briskjo01,John Brisker,F-G,77,210
brokaga01,Gary Brokaw,G,76,178
brooksc01,Scott Brooks,G,71,165
brownfr01,Fred Brown,G,75,182
brownkw01,Kwame Brown,C-F,83,240
brownri01,Rickey Brown,C-F,82,215
brownti01,Tierre Brown,G,74,189
bryanem01,Emmette Bryant,G,73,175
bryanma01,Mark Bryant,F-C,81,245
budkowa01,Walter Budko,F-C,77,220
burresc01,Scott Burrell,G-F,79,218
butlemi02,Mitchell Butler,G-F,77,210
bytzumi01,Michael Bytzura,F,73,170
caffeja01,Jason Caffey,F,80,255
caldwad01,Adrian Caldwell,F-C,80,255
calvima01,Mack Calvin,G,72,165
campbel01,Elden Campbell,F-C,83,215
cardibr01,Brian Cardinal,F,80,245
carran01,Antoine Carr,F-C,81,225
carrch01,Chris Carr,G,77,207
cartege01,George Carter,F-G,76,210
catlete01,Terry Catledge,F,80,220
causwdu01,Duane Causwell,C,84,240
chandty01,Tyson Chandler,F-C,84,235
chapmre01,Rex Chapman,G,76,185
cheanca01,Calbert Cheaney,F-G,79,209
chievde01,Derrick Chievous,F,79,195
chrisbo01,Bob Christian,C,82,255
cleavma01,Mateen Cleaves,G,74,205
closske01,Keith Closs,C,87,212
colemde01,Derrick Coleman,F,82,230
colemja01,Jack Coleman,F-C,79,195
collija03,Jarron Collins,F,83,252
combsgl01,Glen Combs,G,74,185
connele01,Lester Conner,G,76,180
cookbr01,Brian Cook,F,81,234
coopemi01,Michael Cooper,G-F,77,170
countme01,Mel Counts,C-F,84,230
coxjo01,Johnny Cox,G,76,180
croshau01,Austin Croshere,F,81,235
cummivo01,Vonteego Cummings,G,75,185
curetea01,Earl Cureton,F-C,81,210
dailequ01,Quintin Dailey,G,75,180
dampier01,Erick Dampier,C-F,83,265
daniean01,Antonio Daniels,G,76,195
daniema01,Marquis Daniels,F,78,200
dareyi01,Yinka Dare,C-F,84,265
davisan01,Antonio Davis,F-C,81,215
davisch02,Charles Davis,F,79,215
davisem01,Emanual Davis,G,76,194
davisjo01,Johnny Davis,G,73.5,170
davisma02,Mark Davis,G-F,79,205
daviste01,Terry Davis,F-C,81,225
daviswa03,Walter Davis,G-F,78,193
dawkijo01,Johnny Dawkins,G,74,165
dayto01,Todd Day,G-F,78,184
deesar01,Archie Dees,F-C,80,205
delfica01,Carlos Delfino,G-F,78,230
dempsge01,George Dempsey,G,74,190
deprejo01,Joe DePre,G,75,185
dickede01,Derrek Dickey,F,79,218
dienetr01,Travis Diener,G,73,175
dischte01,Terry Dischinger,F-G,79,189
dixonju01,Juan Dixon,G,75,164
donalja01,James Donaldson,C,86,275
doubyqu01,Quincy Douby,G,75,175
douglsh01,Sherman Douglas,G,72,180
drewjo01,John Drew,F-G,78,205
drexlcl01,Clyde Drexler,G-F,79,210
duckwke01,Kevin Duckworth,C,83,275
duerote01,Terry Duerod,G,74,180
dukeswa01,Walter Dukes,C,84,220
dumasri02,Richard Dumas,F,79,200
duprero01,Ronald Dupree,F,79,209
eacklle01,Ledell Eackles,G-F,77,215
eatonma01,Mark Eaton,C,87,275
edneyty01,Tyus Edney,G,70,152
edwarja01,James Edwards,C-F,84,225
eisleho01,Howard Eisley,G,74,177
eliema01,Mario Elie,G-F,77,205
ellisda01,Dale Ellis,G-F,79,205
ellisla01,LaPhonso Ellis,F,80,240
ellismo01,Monta Ellis,G,75,175
elsonfr01,Francisco Elson,C,83,230
embrywa01,Wayne Embry,C-F,80,240
engluge01,Gene Englund,F-C,76.5,205
ervinju01,Julius Erving,F-G-C,78,200
evansbr01,Brian Evans,F,80,220
ewingda01,Daniel Ewing,G,75,185
faircjo01,John Fairchild,F,79.5,205
favorde01,Derrick Favors,F,82,246
feitlda01,Dave Feitl,C,83,235
fernser01,Eric Fernsten,C-F,81,205
fieldla01,Landry Fields,G-F,79,210
finlemi01,Michael Finley,G-F,79,215
flemive01,Vern Fleming,G,77,180
fordph01,Phil Ford,G,73.5,170
fostefr01,Fred Foster,F,77,210
foylead01,Adonal Foyle,C-F,82,250
francst01,Steve Francis,G,75,193
fredean01,Anthony Frederick,F,79,205
fryech01,Channing Frye,C,83,248
fulleto02,Todd Fuller,F-C,83,255
furlote01,Terry Furlow,G-F,76,190
gallida01,Danilo Gallinari,F,82,225
garcifr01,Francisco Garcia,G-F,79,195
garlawi01,Winston Garland,G,74,170
garreca01,Calvin Garrett,F,79,190
garrero01,Rowland Garrett,F,78,210
gayru01,Rudy Gay,F,81,220
georgde01,Devean George,G-F,80,220
georgta01,Tate George,G,77,190
gianejo01,John Gianelli,C-F,82,220
gibsoda01,Daniel Gibson,G,74,190
gilled01,Eddie Gill,G,72,190
gilmoar01,Artis Gilmore,C,86,240
givenja01,Jack Givens,F-G,77,205
glassge01,Gerald Glass,G-F,77,221
goldwan01,Anthony Goldwire,G,73,175
gondrgl01,Glen Gondrezick,F-G,78,218
gordola01,Lancaster Gordon,G,75,185
grahajo01,Joey Graham,F,79,225
grahast01,Stephen Graham,G,78,215
grangda01,Danny Granger,F,80,225
grantga01,Gary Grant,G,75,185
grantho01,Horace Grant,F-C,82,215
grayle01,Leonard Gray,F,80,240
greenac01,A.C. Green,F-C,81,220
greenge01,Gerald Green,F,80,200
greenli01,Litterial Green,G,73,185
greenri01,Rickey Green,G,72,170
greenwi01,Willie Green,G,76,200
greveke01,Kevin Grevey,G-F,77,205
griffda01,Darrell Griffith,G,76,190
griffpa01,Paul Griffin,F-C,81,205
haleyja01,Jack Haley,C-F,82,240
hamda01,Darvin Ham,F,79,220
hamilde01,Dennis Hamilton,F,80,210
hamilri01,Richard Hamilton,G-F,78,185
hammoju01,Julian Hammond,F,77,205
hancoda01,Darrin Hancock,G-F,79,205
hardaan01,Anfernee Hardaway,G-F,79,195
hargeir01,Ira Harge,C,81,225
harpede01,Derek Harper,G,76,185
harride01,Devin Harris,G,75,185
harriot01,Othella Harrington,F-C,81,235
harvean01,Antonio Harvey,F-C,83,225
haskicl01,Clem Haskins,G,74,195
hassetr01,Trenton Hassell,G,74,200
havlijo01,John Havlicek,F-G,77,203
hawkiro01,Robert Hawkins,G,76,190
hayesel01,Elvin Hayes,F-C,81,235
haywago01,Gordon Hayward,F,80,207
haywosp01,Spencer Haywood,F-C,80,225
heardga01,Garfield Heard,F,78,215
hendece02,Cedric Henderson,F,79,215
herreca01,Carl Herrera,F,81,215
hetzefr01,Fred Hetzel,F-C,80,220
highjo01,Johnny High,G,75,185
hillar01,Armond Hill,G,76,190
hillmda01,Darnell Hillman,F-C,81,215
hillty01,Tyrone Hill,C-F,81,240
hinsoro01,Roy Hinson,F-C,81,210
hodgedo01,Donald Hodge,C,84,230
hollawi01,Wilbur Holland,G,72,175
holliry01,Ryan Hollins,C,84,230
hopsode01,Dennis Hopson,G-F,77,195
horryro01,Robert Horry,F,81,220
houstby01,Byron Houston,F,77,250
howarju01,Juwan Howard,F-C,81,240
howelba01,Bailey Howell,F,79,210
hugheki01,Kim Hughes,C,83,220
hummejo01,John Hummer,F-C,81,225
hunteli01,Lindsey Hunter,G,74,170
iguodan01,Andre Iguodala,F,78,207
ilyaser01,Ersan Ilyasova,F,81,235
irvinge01,George Irvine,F-G,78,200
iveyro01,Royal Ivey,G,75,200
jackja01,Jarrett Jack,G,75,202
jacksja01,Jaren Jackson,G-F,76,190
jacksma01,Mark Jackson,G,73,180
jacksto01,Tony Jackson,F-G,76,200
jacobca01,Casey Jacobsen,G-F,77,215
jameshe01,Henry James,F,80,220
jamesle01,LeBron James,F,80,240
janisjo01,John Janisch,F-G,75,200
jasiksa01,Sarunas Jasikevicius,G,76,195
jeffeal01,Al Jefferson,F,82,256
jeffrja01,Jared Jeffries,F,81,215
jerebjo01,Jonas Jerebko,F,83,231
johnsam01,Amir Johnson,F,81,210
johnsav01,Avery Johnson,G,70,175
johnscl01,Clemon Johnson,C-F,82,240
johnsde03,DerMarr Johnson,G-F,81,201
johnser02,Ervin Johnson,C,83,245
johnsge02,George Johnson,C-F,83,205
johnsjo01,John Johnson,F,79,200
johnske02,Kevin Johnson,G,73,180
johnsli01,Linton Johnson,F,80,205
johnsma02,Earvin Johnson,G-F,80,215
johnsol01,Ollie Johnson,F,78,200
jonesan01,Anthony Jones,G-F,78,195
jonesch01,Charles Jones,F-C,81,215
jonesda01,Damon Jones,G,75,185
jonesdw01,Dwight Jones,F-C,82,210
jonesed02,Eddie Jones,F-G,78,190
jonesju01,Jumaine Jones,F-C,80,218
jonesma01,Major Jones,F,81,225
joneswa02,Wali Jones,G,74,180
jorgeno01,Noble Jorgensen,C,81,228
kaftage01,George Kaftan,F,75,190
kaponja01,Jason Kapono,F,80,213
katkale01,Leo Katkaveck,G,72,185
keefead01,Adam Keefe,F,81,230
kellocl01,Clark Kellogg,F,79,225
kempsh01,Shawn Kemp,F-C,82,230
kerseje01,Jerome Kersey,F,79,215
keyeju01,Julius Keye,F-C,82,200
khryavi01,Viktor Khryapa,F,81,210
kingal01,Albert King,F-G,78,190
kingge01,George King,G,72,175
kinseta01,Tarence Kinsey,G,78,189
kittlke01,Kerry Kittles,G,77,179
klierle01,Leo Klier,F-G,73,170
knighbr01,Brevin Knight,G,70,170
knighto01,Toby Knight,F,81,210
kofoeba01,Bart Kofoed,G-F,76,210
koncajo01,Jon Koncak,C-F,84,250
kramejo01,Joel Kramer,F-C,79,203
krystla01,Larry Krystkowiak,F-C,81,220
kudelfr01,Frank Kudelka,G-F,74,193
kukocto01,Toni Kukoc,G-F,82,192
lacoufr01,Fred LaCour,G-F,77,195
laettch01,Christian Laettner,F-C,83,235
lambejo01,John Lambert,C-F,82,225
laneje01,Jerome Lane,F,78,230
langan02,Antonio Lang,F-G,80,205
laskojo01,John Laskowski,G,77,185
leckner01,Eric Leckner,C-F,83,265
leeda02,David Lee,F,81,249
leeke01,Keith Lee,F-C,82,215
lenarvo01,Voshon Lenard,G,76,205
lestero01,Ronnie Lester,G,74,175
lewisgr01,Grady Lewis,F-C,79,215
lewisra02,Rashard Lewis,F,82,215
lichtto01,Todd Lichti,G-F,76,205
livinra01,Randy Livingston,G,76,209
lloydea01,Earl Lloyd,F-C,77,200
lloydsc01,Scott Lloyd,C-F,82,230
loganhe01,Henry Logan,G,72,180
lohaubr01,Brad Lohaus,C-F,83,230
longjo01,John Long,G-F,77,195
loughke01,Kevin Loughery,G,75,190
lowesi01,Sidney Lowe,G,72,195
lucasje01,Jerry Lucas,F-C,80,230
lucasjo02,John Lucas,G,71,165
luety01,Tyronn Lue,G,72,175
maccuto01,Todd MacCulloch,C,84,255
maconma01,Mark Macon,G,76,185
maddoja01,Jack Maddox,F-G,74.5,185
maggeco01,Corey Maggette,F-G,78,218
mahnkjo01,John Mahnken,C,80,220
malonmo01,Moses Malone,C-F,82,215
mannipa01,Pace Mannion,G,79,190
mariosh01,Shawn Marion,F,79,215
marshdo01,Donyell Marshall,F,81,218
martida01,Darrick Martin,G,71,170
martike02,Kevin Martin,G,79,185
martisl01,Slater Martin,G,70,170
masonan01,Anthony Mason,F,79,250
masonro01,Roger Mason,G,76,199
maxieja01,Jason Maxiell,F,79,260
maxweve01,Vernon Maxwell,G,76,180
mayse01,Sean May,F,81,266
mbengdj01,Didier Ilunga-Mbenga,C,84,245
mccaran01,Andre McCarter,G,75,190
mccarwi01,Willie McCarter,G,75,170
mccloge01,George McCloud,G-F,78,205
mccraro01,Rodney McCray,F-G,79,220
mcdongl01,Glenn McDonald,F-G,78,190
mcdyean01,Antonio McDyess,F-C,81,220
mcginge01,George McGinnis,F-C,80,235
mcgratr01,Tracy McGrady,G-F,80,210
mcharma01,Maurice McHartley,G-F,75,185
mckeyde01,Derrick McKey,F-C,81,205
mckinho01,Horace McKinney,F-C,78,185
mcleoke01,Keith McLeod,G,74,190
mcmilsh01,Shellie McMillon,F,77,205
mcneila01,Larry McNeill,F-C,81,195
meelycl01,Cliff Meely,F-C,80,215
meminde01,Dean Meminger,G,72,175
meriwjo01,Joe Meriweather,C-F,82,215
mikange01,George Mikan,C,82,230
milicda01,Darko Milicic,F-C,84,245
millean02,Andre Miller,G,74,200
milleol01,Oliver Miller,C-F,81,280
millste01,Terry Mills,F,82,230
minnidi01,Dirk Minniefield,G,75,180
moblecu01,Cuttino Mobley,G,76,190
mogusle01,Leo Mogus,F-C,76,190
moisoje01,Jerome Moiso,F,82,232
moncrsi01,Sidney Moncrief,G,75,180
montrer01,Eric Montross,C,84,270
mooreot01,Otto Moore,C-F,83,205
morriad01,Adam Morrison,F,80,205
mortojo01,John Morton,G,75,180
motenla01,Lawrence Moten,G,76,185
mournal01,Alonzo Mourning,C,82,240
murdoer01,Eric Murdock,G,73,190
murphca01,Calvin Murphy,G,69,165
murphtr01,Troy Murphy,F,83,245
murraro01,Ronald Murray,G,76,190
murredo01,Dorie Murrey,F-C,80,215
