time,usage
0,7.78
0.0833,7.83
0.1667,6.91
0.25,6.88
0.3333,7.01
0.4167,7.93
0.5,8.29
0.5833,8.33
0.6667,8.15
0.75,7.15
0.8333,7.22
0.9167,7.35
1,7.7
1.0833,7.8
1.1667,7.1
1.25,6.6909
1.3333,6.89
1.4167,7.58
1.5,8.16
1.5833,8.16
1.6667,8
1.75,7.25
1.8333,7.28
1.9167,7.62
2,7.85
2.0833,8.16
2.1667,7.51
2.25,7.19
2.3333,6.92
2.4167,7.91
2.5,8.72
2.5833,8.83
2.6667,8.092
2.75,7.37
2.8333,7.43
2.9167,7.78
3,8.38
3.0833,8.53
3.1667,7.48
3.25,7.34
3.3333,7.16
3.4167,8.42
3.5,8.97
3.5833,8.8
3.6667,8.5
3.75,7.54
3.8333,7.55
3.9167,7.85
4,8.23
4.0833,8.54
4.1667,7.63
4.25,7.4
4.3333,7.8609
4.4167,8.5
4.5,9.08
4.5833,9.65
4.6667,8.87
4.75,7.78
4.8333,7.85
4.9167,8.16
5,8.78
5.0833,8.83
5.1667,8.03
5.25,7.68
5.3333,7.73
5.4167,8.4554
5.5,9.22
5.5833,9.35
5.6667,8.93
5.75,7.91
5.8333,8.03
5.9167,8.32
6,8.88
6.0833,8.96
6.1667,8.4832
6.25,7.83
6.3333,7.64
6.4167,8.71
6.5,9.56
6.5833,9.5
6.6667,9.29
6.75,8.48
6.8333,8.22
6.9167,8.53
7,8.75
7.0833,8.9
7.1667,8.18
7.25,7.98
7.3333,8.18
7.4167,9.47
7.5,10.11
7.5833,10.28
7.6667,9.9
7.75,8.59
7.8333,8.33
7.9167,8.63
8,9.15
8.0833,8.97
8.1667,8.41
8.25,8.23
8.3333,8.21
8.4167,9.49
8.5,10.46
8.5833,10.42
8.6667,9.4856
8.75,8.56
8.8333,8.42
8.9167,8.73
9,9.28
9.0833,9.38
9.1667,8.47
9.25,8.31
9.3333,8.69
9.4167,9.99
9.5,10.6766
9.5833,10.67
9.6667,10.12
9.75,8.8
9.8333,8.8
9.9167,9.42
10,10.03
10.0833,9.73
10.1667,8.69
10.25,8.48
10.3333,8.53
10.4167,9.67
10.5,10.19
10.5833,10.72
10.6667,9.87
10.75,8.63
10.8333,8.43
10.9167,8.66
11,9.2876
11.0833,9.42
11.1667,8.63
11.25,8.6
11.3333,8.69
11.4167,9.88
11.5,10.88
11.5833,10.91
11.6667,10.35
11.75,9.17
11.8333,8.77
11.9167,9.24
12,9.81
12.0833,10.08
12.1667,8.85
12.25,8.56
12.3333,8.67
12.4167,9.68
12.5,10.78
12.5833,11.03
12.6667,10.22
12.75,8.95
12.8333,8.77
12.9167,9.48
13,9.93
13.0833,9.88
13.1667,8.97
13.25,8.76
13.3333,9
13.4167,10.26
13.5,10.77
13.5833,10.68
13.6667,10.29
13.75,9.09
13.8333,9.01
13.9167,9.4984
14,9.97
14.0833,9.98
14.1667,9.25
14.25,8.81
14.3333,8.82
14.4167,10.65
14.5,11.47
14.5833,11.69
14.6667,11.03
14.75,9.6
14.8333,9.15
14.9167,9.3713
15,9.83
15.0833,10.04
15.1667,9.35
15.25,8.94
15.3333,9.26
15.4167,10.73
15.5,11.69
15.5833,11.89
15.6667,10.58
15.75,9.39
15.8333,9.24
15.9167,9.68
16,10.16
16.0833,10.76
16.1667,9.41
16.25,9.18
16.3333,9.45
16.4167,10.77
16.5,11.38
16.5833,12.04
16.6667,11.25
16.75,9.93
16.8333,9.54
16.9167,9.93
17,10.52
17.0833,10.52
17.1667,9.5
17.25,9.27
17.3333,9.3
17.4167,10.94
17.5,11.62
17.5833,11.35
17.6667,10.75
17.75,9.41
17.8333,9.27
17.9167,9.94
18,10.32
18.0833,10.2
18.1667,9.1
18.25,8.429
18.3333,8.82
18.4167,10.11
18.5,10.84
18.5833,10.9087
18.6667,10.3
18.75,9.21
18.8333,8.86
18.9167,9.93
